id,new,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
grep,,GNU grep,grep recherche dans les fichiers (ou dans l'entrée standard) les lignes correspondant à un modèle donné. Le modèle peut être une expression régulière ou une chaîne littérale.,,"grep,modèle",,DOS,"GNU General Public License, Version 2",647500e87b3a7874daedefb77c2375aaced831c83edae3114fc380f617e45bdf
gsplay,,GSPLAY,Un lecteur de fichiers MIDI standard.,,"midi, player",,DOS,freeware (source code not available),2ff6df4e16fb9d48588c56306d985ea85b0b0fdff348d50d17c0ec0606e8d983
gzip,,GZIP,"Compression GNU zip  - un outil d'archivage de fichiers, comme PKZIP",,"gzip, zip, unzip, gestionnaire d'archives, compresseur",,"DOS, FreeDOS, OS/2, Mac and a lot of others","GNU General Public License, Version 2",150e8c025603b1a29f80879ea8d81d594ff8394e2d2fa3fcd2ec68d14c592597
hangman,,hangman,Jeu du pendu en plusieurs langues,,pendu,,DOS,"GNU General Public License, Version 2",3ef2ed71775fa5c5bb58a918c328edc34e8b216a4cf5fe5c4482b6b66372b1fd
happylnd,,Happyland Adventures,"Un jeu de plateforme avec des éléments de puzzle originaux, plein de surprises. Explorez les grands niveaux et ramassez divers fruits pour les bonus. Sauvez les Happylanders afin de débarrasser le monde du mal.",,happyland,,DOS,Freeware,286149394ad554e0bf24aeb12d12e08a0bdde8eafb55839237205d669bb9b00e
head,,HEAD,affiche une partie d'un fichier,,head,,"DOS, FreeDOS","GNU General Public License, Version 2",ad282289a64e27a9ef4972772b6cadef98c2daae084af85a9a92421336be9c92
hexcomp,,hexcomp,Compare de façon graphique les fichiers binaires,,"hex,comparer",,DOS,"GNU General Public License, Version 3",82c863567497c938c96c7d18c738f0d0647c32a473c53716d7a30110c8cff6d3
himemx,,HIMEMX,HimemX est un gestionnaire de mémoire dérivé de FreeDOS Himem,,"XMS, himem, gestionnaire de mémoire",,"DOS, FreeDOS",Artistic License,237089f145fe0ceba9d834779bded7b75d3c1ee46a301dcb5d8c8a2359086564
hip,,Hide In Picture (HIP),Hide In Picture est un programme de stéganographie qui cache des fichiers dans des images,,Stéganographie,,DOS,"GNU General Public License, Version 2",6485f8d8bf1c4e8096a01171c52c08ed6a14ede5ad20f691c254a899bcddb8ca
hiram,,HiRAM,"Extenseur de mémoire haute (Upper Memory, UMB) pour processeurs 80286, 80386, 80486",,"UMB,mémoire,gestionnaire",,DOS,Modified (2-Clause) BSD License,fa4fdb328e6b2f5177881fc9217bc0fe28a403744229734782ce8d408a5446b8
