id,new,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
mskermit,,MSKERMIT,Suite de communication suite par l'Université de Columbia.,"Paquet logiciel de communication  Kermit MS-DOS pour les PC IBB et compatibles, offrant une gamme d'émulations de terminaux, de méthodes de communication série et réseau, des conversions de caractères internationales, un langage de programmation de scripts et le transfert de fichiers Kermit.","série,comm,terminal,transfert de fichiers",,DOS,Revised 3-Clause BSD License,257222f928e6c3c00b9e3679322bbbd983f333454b2ac3dd726c6281088f0f2b
mtcp,,mTCP,"Collection d'outils TCP/IP  pour DOS 16 bits : DHCP, IRC, FTP, Telnet, Netcat, HTGet, Ping, SNTP",,dos tcp/ip mode réel dhcp ftp telnet htget irc ircjr netcat sntp ping opensource 16 bits,,DOS,"GNU General Public License, Version 3",0b6bafc58374e276f8f1b8c4654968b95cbbb2861536e10f642d1a99f9555091
nansi,,Nansi,Un pilote ANSI pour DOS,,"freedos, nansi, ansi",,dos,"GNU General Public License, Version 2",f75ee06ae9fd66a9a7bbcede1a8f9f3a3c79b874380374a777c6f4f92904c643
nasm,,Nasm,L'assembleur Netwide (version compressée avec UPX),"Le Netwide Assembler ou NASM est un assembleur 80x86 et x86-64 conçu pour la portabilité et la modularité. Il prend en charge toute une gamme de formats de fichiers objets, notamment Linux et *BSD a.out, ELF, COFF, Mach-O,  le format OBJ (OMF) 16 bits et 32 bits, Win32 et Win64. Il produira également des fichiers binaires ordinaires et aux formats Intel hex et Motorola S-Record. Sa syntaxe est conçue pour être simple et facile à comprendre, similaire à la syntaxe du Manuel du développeur de logiciels Intel avec une complexité minimale. Il prend en charge toutes les extensions architecturales x86 connues et et comprend une prise en charge étendue des macros.","nasm, asm, assembleur, assembly",,DOS,Simplified (2-Clause) BSD License,2a0d1535323454ddc629ffbdd4c48c21d02ae2a0eb378e21dde95507b84d0d7b
nethack,,NetHack,Un jeu d'exploration de donjon à un seul joueur.,,,,"DOS, Windows, GNU/Linux, OS/2, Mac, Amiga, Atari",NetHack General Public License,55a54c50a96b73138ec5847f0378b341966f657522acf57d78b036bc33b54e86
newsnuz,,NewSNUZ,Lecteur Usenet (NNTP) basé sur WatTCP,,"nntp,usenet",,DOS,Public Domain,547cb2e18049c74a5fad69340e659aec3cf73fb89e3354ad57cd7394bf8e2ba0
nge_nibb,,NGE Nibbles,"Un clone de Nibbles, un vieux jeu d'arcade.",,nibbles,,"DOS, FreeDOS","GNU General Public License, Version 2",d1cdef6b013b1904b618d11b804038ed4f7f0d2736246c8408b6730817dd21a0
nlsfunc,,NLSFunc,"NLSFUNC ajoute la fonctionnalité NLS (National Language Support, support de la langue nationale)",,"freedos, nls,pays, affichage, mode",,DOS (nasm),"GNU General Public License, Version 2",5b62b6d6c77fc77e5d31e354c9ec41e9232fe084e9c9d202631dba218ed514ad
nosefart,,Nosefart,Lecteur NSF  (Lecteur de musique NES),,,,DOS,"GNU General Public License, Version 2",40b0a19c5756c8056b49a5887400f219645661638c3bc876f21c10dd047791de
noudar,,Dungeons of Noudar 3D,"Un jeu d'exploration de donjon à la première personne avec un goût de jeu DOS, écrit en in C++14 en utilisant  OpenGL 1.1 ou OpenGL ES 2.0.",,"games, rpg",,DOS,Modified BSD (2-Clause) License,7e21c65e2417d4fb46467e993218758d4edcde6cb9d15ac86b043aeb8aabd951
nro,,nro,Un processeur de texte similaire à nroff sur UNIX,,"nroff, roff, nro, micro-c",,"FreeDOS, DOS (Micro-C)",Public Domain,744cd2f63a36ad3e73c0f6146ce10126da8b3c8e7541668ddd6c42fea0776e7f
ntfs,,NTFS,Permet l'accès à des partitions NTFS,,"ntfs, partition, fichier, accès",,DOS,"GNU General Public License, Version 2",a13641c8514e64de43925e097bd5b4d5d5f7ba418d22c584dc50299efb513fbe
ntool,,NTOOL,"NTOOL est simplement une autre incarnation du célèbre programme NETCAT, basée sur la pile WatTCP.",,"ntool,netcat",,DOS,EUPL v1.1,9d6b87432b127888cf7e7d1fb98bce873972f230afc93b6cdc640e65664c6e10
opencp,,OpenCubic Player,"OpenCubic Player est un lecteur de musique multi-formats (mp3,wav,mid?)",,lecteur,,DOS,"GNU General Public License, Version 2",13556a138160d5b3d3f4781faeb296f96de654b3a72b13982aec5a14c185eb3e
opengem,,OpenGEM desktop,Gestionnaire de bureau graphique. Comprend plusieurs applications à interface graphique.,,"atari, gem, opengem, bureau",,DOS,"GNU General Public License, Version 2",7f3bd8e8c489c213a951085ae57491260eccf077a1bae60527dd6c8ce77ede02
orangec,,Orange C,La boîte à outils Orange est conçue pour DOS/WIN32. Elle utilise les binaires win32 avec l’émulateur WIN32 de Japheth's pour DOS afin d’obtenir les fonctionnalités MSDOS.,"Le compilateur Orange C / C ++ est un nouveau travail qui comprend un compilateur d'optimisation, une chaîne d'outils et un IDE. Le compilateur lui-même utilise diverses techniques standard, ainsi que des techniques intéressantes mentionnées dans la littérature. Ce compilateur prend en charge les différentes normes C via C11 et la prise en charge complète de C++ 14. L'IDE pour le compilateur est un IDE de langue C/C++ complet comprenant un éditeur de colorisation avec complétion de code, l’outil make intégré, un débogueur et un éditeur de ressources WIN32. La chaîne d'outils est très générique et la possibilité existe de le personnaliser pour les plates-formes intégrées (ou par exemple pour d'autres systèmes d'exploitation) à l'aide de divers fichiers de personnalisation de liaison ainsi que de programmes de génération de code Backend. Les programmes de génération de code Backend existants prennent en charge les formats exécutables WIN32 et MSDOS, ainsi qu'un générateur de backend qui produira des fichiers Intel et Motorola Hex. La bibliothèque d’exécution C que ce compilateur utilise est une amélioration de RTL utilisée par CC386. La bibliothèque de temps d'exécution dans ce paquet contient des en-têtes Win32 et une bibliothèque d'importation, de nombreux programmes Windows compileront avec elle bien qu'il y ait quelques incompatibilités.","développer, c",,DOS,"GNU General Public License, Version 3",5cc51a34e3d9665803fbd2bed3494d4b1bc780bfcf2fcfee0aa029a02d8c3e30
ospedit,,OSPlus Text Editor,Un éditeur de texte convivial pour DOS,Éditeur de texte OSPlus : un éditeur de texte convivial pour DOS. Comprend les versions en mode réel et en mode protégé (DJGPP).,"texte, éditeur, dos, rtf, txt, wri",,"DOS (Borland C++ 4.51, DJGPP), FreeDOS","GNU General Public License, Version 2",d6f71523d6dd09eb1b3f8815589d807e74cbd74b94e8be1ede1d1cabb9efb8e0
ospimg,,OSPlus Disk Imager,Utilitaire pour lire et écrire des images de disquettes,"OSPlus Disk Imager est un utilitaire qui vous permet de lire des disquettes et d'en créer des images sur votre disque dur. Celles-ci peuvent ensuite être écrites sur un CD, compressées et envoyées par courrier électronique ou téléversées sur Internet. Le Disk Imager vous permet également d'écrire ces images sur une disquette. N'oubliez pas que toutes les données existantes sur la disquette seront DÉTRUITES lors de l'écriture d'une image.","disque, image",,"DOS, FreeDOS","GNU General Public License, Version 2",b3e6f082348ab501b0a36f171388ecaf7f13d775179958f7171e48cf7ce89fd5
ow,,Open Watcom C Compiler,Compilateur C/C++ Open Watcom,,"watcom, c, compilateur",,DOS,"Sybase Open Watcom Public License, Version 1.0",01bd05d3b24a95e77a677875971bf63801f3df7fe0417253e608b33272bcae99
ozonegui,,oZone GUI,Environnement de bureau oZone,,"freedos, ozone, interface graphique",,DOS,GNU GPLv2 and LGPLv2.1,924d0dfe015c2535037f5d0e3deba1bb10db935352817137b5384aa97337c188
p7zip,,7-ZIP,p7zip est un portage rapide de 7za.exe (version ligne de commande de 7zip). 7-Zip est le gestionnaire d'archives avec le taux de compression le plus élevé.,,"7zip, p7zip, compression, zip, unzip, arj",,DOS,"GNU Lesser General Public License, Version 2.1",ee8d4caeb7826aa8dbad0b08a204e4998fc67102b9664f016d3c14eeec0e304e
pacificc,,pacific-c,Version Freeware du compilateur Pacific C.,,"freedos, compilateur, c",,dos,free (source not available),2182f1cb1d054a55cf240627d34401505d86e602644e96bec0c6cdb113003e44
paint2,,powerpaint,"Un beau programme de peinture graphique. Réalisé en 1998. Il supporte le type de fichier paint1 et deux autres types. Graphisme: mode 13h, nécessite une souris.",,"peindre, graphiques",,DOS (Pascal),"GNU General Public License, Version 2",361fc4494175de60fe7b7a6310787254489fa3cbddae554a3736357189ae303f
pakupaku,,Paku Paku,Un clone de pacman en mode textuel uniquement.,,,,,Public Domain,7602b6e2ce22613bf4ce3130cc3ed98d1af7d827b352528f83ac3c27bd66edb1
part,,Ranish Partition Manager,Partition Manager peut : sauvegarder et restaurer le MBR ; créer et effacer des partitions ; afficher les informations IDE des disques durs ; formater et redimensionner les systèmes de fichiers FAT-16 et FAT-32 ; fourni avec des gestionnaires d'amorçage avancés.,,"disk, partition, manager, ranish, fdisk, format",,"DOS, FreeDOS",Public Domain,471ea6d551af897915c05b73118f6c18c3b95e12f3fe87379a06f19568f48dc8
password,,FreeDOS Password,Programme de mot de passe -- Protège votre ordinateur de l'accès des étrangers,,"freedos, mot de passe, login, utilisateur",,"DOS, FreeDOS","GNU General Public License, Version 2.1",241291c9fb133edd7ccf817b750e284799aa454dd2104e9ad605b8f3aaa75c81
pausesys,,Pause (Config.sys),Pilote de périphérique pour mettre en pause le traitement de 'config.sys',,"dos, amorçage, config, fdconfig, système, pilote",,DOS,'Modified' BSD License,6df7b787d5f609021166d06493f44e68defe0b056398e0399881bc41d3f7c6ec
pbox,,PasswordBox,Un gestionnaire de mots de passe en mode console utilisant un stockage chiffré AES,,"mot de passe,gestionnaire",,DOS,"GNU General Public License, Version 3",deb45826de3953fa8f006a485cc05ee619373d65cc947f475300b84d7a64dc7b
pcisleep,,PCISLEEP,PCISLEEP liste et met en veille les cartes PCI.,,"PCISleep, pci, card, vga, veille, liste",,DOS,"GNU General Public License, Version 2",4ad400c68b106719c2feb57c2abf3572369fe2246be178f47bb36ae0fdfda905
pdtree,,pdTree,"Affiche graphiquement la structure de dossiers d'un lecteur ou d'un chemin. Prend en charge les noms de fichiers longs si l'API LFN est présent, prend en charge les catalogues de messages (différentes langues) à l'aide de cats et prend en charge Windows NT/9x et DOS.",,"arborescence, FreeDOS, DOS, Win32",,"DOS (TC30, BC31), Win32 (VC5, BCC55)",Public Domain (optional use of LGPL catgets by Jim Hall),a92b67d2d4800e90e9ab77767570ef7f1d32482d35b0a17008c3fd5a8c53a279
perl,,Perl,"perl est un langage combinant certaines fonctionnalités de C, sed, awk et du shell",,perl,,DOS,GNU General Public License,6c6f5191d2b4d3f428805d20c3bce35cd42f9e6c324a2ffd643271ef77046e08
pg,,PG (PaGer),Affiche le contenu d'un fichier texte une page à la fois,,"page, pg, texte, afficher du texte",,"DOS + Turbo C + Nasm, FreeDOS","GNU General Public License, Version 2",e37a766817800dd0a725d71cea0e17da48deedca40e5260256aee0523a1728a2
pgme,,Program Manager Eternity,Un lanceur d'application multi-menus entièrement personnalisable pour DOS. Il comprend également Font Designer et plusieurs autres utilitaires. (Nécessite la souris),,dos lancer pgm pgme efntdsgn menu kiosque 16 bits,,DOS,"GNU General Public License, Version 2",4c0bea2ee8503d03bf1ae496245896024bfe590a1a0b079d525715b06f61909d
pico,,Pico,Éditeur de texte simple dans le style de Pine Composer,,éditeur,,DOS,GNU General Public License,e58fa7a6b86ae2031b4d2935a2e12ecb065890fb70d64b2841c9a3350968abe7
picosntp,,picoSNTP,"Client SNTP pour DOS, basé sur picoTCP",,"NTP, SNTP",,DOS,"GNU General Public License, Version 2",7b10186b812a3f36dc0458303dac7a57f0911b1fa5bc69c2e516429087a227d9
picotcp,,picoTCP,Pile de réseau picoTCP (librairie et outils de configuration),,,,DOS,"GNU General Public License, Version 2",ee1a1faaa3feb4ff151615334d58771cd40d1cdd421f395a6cdd398016f11c52
ping,,ping,L'outil de diagnostic Internet ping. Cette version est extraite de la suite Watt-32 v2.2.,,ping,,FreeDOS,GNU General Public License,c4aa6084bf1f8cb86bc52b8b8de155a2de8b907186c70edd574255e66a36654e
pkgtools,*,Package Tools,general maintenance utilities for FreeDOS packages,"Utilities to create and display information about installed packages for FreeDOS. Eventually, utilities to relocate, delete and perform other general package maintenance on packages may be added.","dos 16 bit, asm, pascal",,DOS,Mozilla Public License Version 2.0,d07bb7ace485f3044f699cc0d96a890a40a268f6ef3398c57535b368a6ee3bb6
pmodew,,PMODE/W,PMODE/W est un extenseur DOS à utiliser avec le compilateur Watcom C/C++. Il est conçu pour être un remplacement assez fonctionnel de DOS4GW.EXE.,,"extenseur, DPMI, DJGPP, DOS/4G",,"DOS, FreeDOS",Free w/Sources (No Derivative Works),83d4dea2288bcd865d94fed98bab6903684e52df05d01b19eb704aae8bb6f8c0
pngcrush,,pngcrush,Outils de compression/optimisation PNG,,compression png,,DOS,zlib/libpng License,8781a37b9b69dae8053fe8060a3e09563bf1238954f441308d6b508cb1a0e54a
print,,PRINT,Imprimer des fichiers en arrière-plan pendant que vous faites autres chose.,,"imprimer, spool, lpr",,"DOS, FreeDOS","GNU General Public License, Version 2",7ac6220a40f33943c430c98ad8dfdeaf8b539edbeef02760243f4df80d2d3746
printq,,PrintQ,Un gestionnaire externe de file d'impression pour FreeDOS PRINT.,,,,,,bf90921c667bea86aa82d669a6592c4963291595a49f71820ae5a59657c15442
psrinvad,,INVADERS,Clone du jeu Space Invaders,,"Space Invaders, Arcade, Jeux",,"DOS, TASM/MASM/A86/LZASM/JWASM/WASM/NASM/FASM/OCTASM/TMA/WOLF",Open Source,0889196d668bdf498ed516542bc400a122b9f0667fe4c9baf5b2995ce3e556e3
qtetris,,TETRIS Queen,Un clone du jeu TETRIS et un hommage au groupe Queen en même temps.,,tetris,,DOS,"GNU General Public License, Version 2",086f4466d40074e69f03af6d5afd9b3b53c00177cf86ce85a9ab3d3bfe0f1b30
quadnet,,Quadnet,Jeu de tir rapide similaire à cosmic,,,,DOS,Freeware,bf596e34beec369888cfbe7f7b97f26c709f0718dd2195dec71b103066a9e269
raread,,raread,Lit l'image pour une disquette (pouvant être écrite à l'aide de RAWRITE). Utile pour créer des images de disque.,,"brute, lire, disquette, image",,"DOS, FreeDOS","GNU General Public License, Version 2",9937e8ff2aabcac772f4d395765749735fd2b56aa4969ba18b9e9e14c0c8c54f
rawrite,,rawrite,Écrit un fichier disque sur une disquette brute,,"disquette, écrire, rawrite",,"DOS, FreeDOS",Source code available (open),a1c0f4679778b6575d5f6b6988d3c3cb0493814a3d1218be4158c6db84ea8758
rcal,,rcal,une calculatrice à grands nombres avec virgule flottante qui imite les calculatrices 'à rouleaux de papier'. 8086+,,"calc, calculatrice",,dos,MIT License,d9921cf64743c4e906d2f4bbb8795d761c0f3e547d5ffd87dbe6fe8532d5ea3c
rdisk,,RDISK,RDISK est un pilote qui crée un disque RAM à partir de 2 Go de mémoire XMS.,,"disk, driver, memory, ramdisk, rdisk, xms",,DOS,Free w/sources,11de4964d137234813453976341be15a366e98756176354bf5fb3da61264dc08
recover,,RECOVER,Récupérer des disques ou des fichiers perdus.,,"récupérer, disques, fichiers",,"DOS, FreeDOS","GNU General Public License, Version 2",16b93e7b6f9ade82162a05ef57e129e0b2189e8c0b2b8558068412710f9dbd4a
regina,,Regina REXX,Portage de l'interpréteur Regina Rexx avec prise en charge de l'API SAA Rexx.,,"Regina,REXX",,DOS,"GNU Library General Public License, Version 2",76bb71de0a02f49a04119133421ed703c70b30ef4adf809ae54e554835c2666e
replace,,REPLACE,Remplace les fichiers du répertoire de destination par des fichiers du répertoire source portant le même nom.,,"copier, remplacer",,"DOS, FreeDOS","GNU General Public License, Version 2",da41f768f4f5eb789a2744672f5b22a3317cc15e421fd03748bb6f48bb560f7d
ripcord,,RIPCORD,Donne des informations de version sur chaque programme dans cette distribution,,freedos dos ripcord version program number,,"DOS, FreeDOS",Public Domain,8441c025251ca72b8079b69559fa4ed545bc9014be3e2f8c85282e75ce3f780f
romdsk,,ROMDSK,"Boîte à outils de disque ROM pour permettre le démarrage du noyau DOS depuis une ROM (EPROM, Flash)",,ROM disque EPROM flash EEPROM DOS FreeDOS noyau amorçage INT19H,,"DOS (TASMB), FreeDOS","GNU General Public License, Version 2",56c64c9311b0007951d98d7d6cea6994017f54743dcf5cd006d979eeb92ee918
romos,,ROMOS,ROMOS peut démarrer FreeDOS à partir d'une ROM externe ou du BIOS système sans disques,,"ROM,BIOS,Flash,ISA ROM module,DOS,NASM,AWARD,HOTFLASH,CPUID,microcode",,Code x86 indépendant du SE (utilisation du compilateur NASM),"GNU General Public License, Version 2",7446dc610875a936fb1f84d5f3d999e7ab4bc5a53c8f858d3b0787d9b3a610bd
row4,,Four In A Row,"Connectez 4 jetons de la même couleur dans une rangée, mode textuel, très léger",,"row4, connect4",,dos,"GNU Affero General Public License, Version 3",9503ed31ed416c2d514ebcb0545f146486462d9fb7a4c30f2e2b1bdda534d23f
rsync,,rsync,"rsync est un utilitaire qui synchronise les fichiers et les répertoires d'un emplacement à un autre tout en minimisant le transfert de données en utilisant le codage delta, le cas échéant. Ce portage rsync est nécessairement un sous-ensemble du rsync complet, en partie à cause des limitations de mémoire et en partie à cause des particularités de DOS. Les principales différences sont les suivantes : client uniquement ; aucun support pour rsh ou ssh ; les noms de fichiers sur le serveur doivent être au format DOS ; les données de fichier ne sont pas compressées.",,rsync,,DOS,"GNU General Public License, Version 2",577c372b114f079bce4cf321c08067f1d3b30d27728ba923d9c15232a8cc5e13
runtime,,runtime,Programme l'exécution d'un logiciel et vous dit lorsqu'il sera exécuté,,"dos, fonctionnement, temps, minuteur",,dos (Borland C) **nécessite Cats (GNU LGPL),GNU General Public License,e556e207ec6e2ef8843162f843a3c61fa401cda5ca08309ca954951a095b7f5f
samcfg,,SAMCFG,Ensemble de fichiers d'exemple pour créer C:\CONFIG.SYS et C:\AUTOEXEC.BAT,,"freedos, exemple, configuration, config.sys, autoexec.bat, batch, script",,"DOS, FreeDOS",Public domain,04861adbfafb0d33e3f17aa427ee7f20f5a35906b22f99f4b656f3ff272c9ea6
sbmix,,SBMix,Afficher et modifier les réglages du mixeur SoundBlaster Pro (et compatibles),"SBMIX est un petit programme d'affichage et de modification des paramètres de mélangeur SoundBlaster Pro (et compatibles), c'est-à-dire des volumes MASTER, WAVE, FM, CD, LIGNE et MIC, directement à partir de la ligne de commande DOS. Peut être nécessaire pour entendre quoi que ce soit sous DOS pur avec certaines cartes, car elles sont initialisées avec un volume égal à zéro.","dos, sound blaster, audio, volume",,DOS,'Modified' BSD License,9ed8ef8c98667244e1ac9bb88cefa8c59bc4661937f6e192671ac247f515a2ee
seal,,SEAL,"SEAL est une interface graphique 32 bits pour DOS. Il prend en charge de nombreuses fonctionnalités avancées, telles que le système de liaison dynamique (XDL), les fonctions audio et multimédia (SFA), la prise en charge multilingue, et plus encore !",,SEAL2 Inteface graphique FreeDOS DOS,,,"GNU General Public License, Version 2",230780f41fd5846bfed15b07dca0fd27efd3322d64128689c9612a28137b16b5
search,,Search,Localiser des fichiers sur votre ordinateur,,"freedos, recherche",,DOS,"GNU General Public License, Version 2",edea9aa8b12ba9e01b3fba45a10e3604683047d00b0368d26ad918b1ab2f9559
senet,,Senet,"Un jeu très ancien, qui remonte à l'Égypte antique","Senet est un jeu très ancien, remontant à l'Égypte antique. Parce qu'il est si ancien, et parce que personne dans l'Égypte antique ne préservait les règles pour les générations futures, les règles exactes sont un peu mystérieuses. Les historiens ont essayé de comprendre les règles de Senet, mais ils sont en désaccord dans les détails.",Jeux,,DOS,"GNU General Public License, Version 2",588aed8e23387ac2b40e63e2801125fea9525ac9dfdaba31802ed04de3d41df6
setedit,,setedit,"Un éditeur pour programmeurs pour DJGPP, similaire à l'IDE BCE et à RHIDE",setedit est un éditeur de texte de console convivial qui a l'aspect des éditeurs Borland pour DOS. Cette page de manuel décrit uniquement les options de ligne de commande de l'éditeur. Vous pouvez obtenir l'aide complète au sujet de l'éditeur grâce à l'aide de l'éditeur. N'importe quel nombre de noms de fichiers peut être spécifié après les options et ils seront automatiquement chargés par l'éditeur dans le même ordre que vous les aurez répertoriés. Vous pouvez passer des options de ligne de commande supplémentaires à l'aide de la variable d'environnement SET_CMD-LINE. Lisez la documentation pour plus d'informations sur cette fonctionnalité. (Remarque: setedit ne fonctionnera pas sous DOSBox),"éditeur, unicode, DJGPP",,DOS,"GNU General Public License, Version 2",0b9e40c1ded9af0e56caec6ddd5480ba531020a90be05620b4e8bc581f80f3f3
setlock,,SetLock,"Régler les touches Verr Num, Verr Maj et Arrêt Défil à partir du logiciel",,"Verr Num, Verr Maj, Arrêt Défil, définir",,"DOS, FreeDOS","GNU General Public License, Version 2",f8e5170eb5942f428a9797efc7e2a9872e80506189382ed2b74d146a07d56820
share,,SHARE,Installe les capacités de partage et de verrouillage de fichiers sur votre disque dur - pour le noyau FreeDOS uniquement,,"share, partage de fichiers",,FreeDOS only,GNU General Public License,3c1218e3885cd59890acaee791273d20b4ef437ac6218ae5488e4fd4473ea5d8
shareext,,shext,Extenseur de partage (Share),,extension share,,"DOS, FreeDOS","GNU General Public License, Version 2",11bc5c05de37564e4e842a514235eb1ed12caab17e5a5d45331f10299bfae890
shsucd,,SHSUCD Suite,La suite SHSUCD est un jeu de programmes gérant le CD-ROM. (sauf SHSUCDX),"La suite SHSUCD  est un ensemble de programmes gérant le CD-ROM. Ils permettent l'accès au CD-ROM comme une lettre de lecteur normale, la création d'un fichier image depuis les contenus d'un CD-ROM, l'accès à un fichier image comme s'il s'agissait d'un lecteur, et le test de certaines fonctionnalités du CD-ROM. Les binaires SHSUCDX  sont  sont exclus de ce pacquet pour ne pas entrer en conflit avec le paquet SHSUCDX.","mscdex, shsucdex, fdcdex, cdrom, atapicdd, xcdrom, shsucdx, shsucdhd, shsucdrd, shsudvhd, shsucdri, omi, isobar, cdtest, smarter",,"DOS (NASM), FreeDOS","Open Source (copyright reserved, free use program)",4df00f8ce6f643dd19a8c9177a147eb397d0d2629c42d881ed89dd63a9b8d9ab
shsucdx,,SHSUCDX,Extension CDROM libre pour DOS,,"mscdex, shsucdex, fdcdex, cdrom, atapicdd, xcdrom",,"DOS (NASM), FreeDOS","Open Source (copyright reserved, free use program)",a38290990cc82253090d53b6af7c00f2868d95bb89d11e8862bbdaf98739e755
shsufdrv,,SHSUFDRV,SHSUFDRV est un pilote pour les images de disque dur et de disquette. SHSURDRV copie l'image sur la mémoire vive et/ou crée des lecteurs RAM.,,"pilote, disquette, images, disque dur, lecteur ram",,"DOS, FreeDOS",Freeware / source code available,6d7dbad861a8068bacca6e71711b069418b4b91cd7ce6df76dce6d34f02c4fa6
simcoupe,,SimCoupe,Un émulateur SAM Coupé.,,,,"DOS, Windows, MacOS X, GNU/Linux, Windows Mobile, BeOS, QNX, OS/2, AmigaOS, PlayStation Portable, GP2X","GNU General Public License, Version 2",b95d400f7ad73a05ca31a70757c705d2f76f832a2ea5d43b0508b282c794f7af
sleep,,sleep,sleep est similaire à l'utilitaire UNIX du même nom. sleep peut être utilisé pour suspendre l'exécution des fichiers de commandes pendant un certain temps. sleep donne les tranches de temps aux systèmes d'exploitation qui le supportent. sleep reconnaît et honore également le switchar DOS.,,"extension, utilitaire, veille",,"DOS, FreeDOS","GNU General Public License, Version 2",7e2794fbeca3a4eb2172050a2d0baeea8f437648663d08aee1e2578e65e87261
slicer,,File Slicer,Un utilitaire simple d'archivage et de découpage/reconstitution de fichiers pour DOS. (Compressé avec UPX),Un simple utilitaire d'archivage (pas un programme de compression) pour catégoriser et diviser les fichiers et répertoires volumineux sur des supports plus petits. Nécessite un 8086 avec EGA ou de meilleurs graphiques. (Compressé avec UPX),dos 16 bits fichier archive span split découper,,DOS,Simplified (2-Clause) BSD License,51a9d0fe1927fd4507f5b51f69aba7c6b5d519447527a82ce04114ce4d3edf12
slowdown,,SLOWDOWN,Ralentir un ordinateur rapide. La vitesse est entièrement configurable depuis la ligne de commande ou en utilisant des touches de raccourci. Possède plusieurs 'méthodes' ou 'modes' pour ralentir l'ordinateur.,,DOS,,DOS,"Freeware, see documentation",ad4f6138b99f7e5c281128eb0babaebb1c57ca35fb3e93a31e6abadcc96152f8
sneese,,SNEeSe,SNEeSe est un émulateur Super NintEndo Entertainment System.,,,,"DOS, Windows, GNU/Linux, Unix, BeOS",Clarified Artistic License,9b9f4624685e10f269d3f4f1153ddc91cf4d9dee18f7fa701fcee83409b0f9cf
snova,,Supernova,Jeu d'aventure textuel se déroulant dans le futur.,,,,DOS,"GNU General Public License, Version 2",3083f97f835d1a018e1af82832843362c981a19ef9ce2ac3f53db0d6883146b6
sort,,sort,"Trier le contenu d'un fichier texte, en utilisant éventuellement la table de classement NLS",,"trier, texte, fichier",,"DOS (e.g. Borland Turbo C), comprend sa propre version de la librairie KITTEN, FreeDOS","GNU General Public License, Version 2",a186099808deaa4982b46efcf960b41d4934a87778e3f3a7f869578a10dc513a
spool,,Spool,Regroupe l'impression de fichiers en arrière-plan. Cela ne nécessite pas l'utilisation d'une commande PRINT.,,"imprimer, spool, spooler",,"DOS, FreeDOS",Public Domain,45fda35027d78508d7530d7feaebd9151c7a4e9fae5d5291a83b80a844fa3b8a
sqlite,,SQLite,Un moteur de base de données SQL incorporable,,"sql, sqlite",,DOS,Public Domain,3db72ed983fc7ac75a8da8bc305436a9e189fe4ef764b750ffb6e3c1a8fdf26f
srdisk,,SRDISK (resizeable RAM disk),Ramdisk redimensionnable. Srdisk est rapide et capable d'utiliser plus de 32 Mo de mémoire XMS et EMS. La taille du disque peut être modifiée sans redémarrage ni perte de contenu. Compatible avec Diskcopy.,,"extension, utilitaire, disque ram",,"DOS, FreeDOS","GNU General Public License, Version 2",2b2abf288ff6038a8941e4f3ff454c138d4a9b6fba057a853b2d9a0b858cca54
ssh2dos,,SSH2DOS,"Client SSH pour le protocole SSH v. 2.0. Contient également SCP, SFTP et telnet dans les versions 8086 et 386.",,ssh protocole réseau communication accès distant,,DOS (OpenWatcom 1.x),"GNU General Public License, Version 2",3227e40de55096e230d326c353fd6d408299da03d05d543654f003bd2da09c83
sshdos,,SSHDOS,"Client SSH pour DOS. Contient également SSH, SCP et SFTP dans les versions 8086 et 386.",,ssh protocole réseau communication accès distant,,"DOS (Borland C 3.1, DJGPP 2.03)","GNU General Public License, Version 2",459e6b2576d69aede1c631d2b29aef58b4db5dfe275564d2e4662ba29fbc5d8c
stamp,,stamp,"Définir, afficher et filtrer les horodatages des fichiers",,freedos,,"DOS, FreeDOS","GNU General Public License, Version 2",ec61f8d4411c85cd42b9daa429dfb9adf2629e73e354b0581fba82759b2d3901
start,,Start,Démarre un programme FreeDOS.,,"démarrer, lancer",,"DOS, FreeDOS","Express Software Public License, Version 1",f897c3e6896ec3ecad3e4a6788f4de30f2587165fe7c1ccf41c89fa376944c9c
sudoku86,,sudoku86,un jeu Sudoku 16 bits pour DOS et les processeurs 8086/8088,,"sudoku,jeux",,DOS,Simplified (2-Clause) BSD License,d785b983ea2a051dee75dd5e2a2386945148fc31c162753fab8ebfcd096afd39
suppls,,SUPPL (lib),une bibliothèque complète de fonctions utiles,,"c, programmation, librairie, supplémentaire",,DOS,"GNU General Public License, Version 2",6dc08dee23d5670cc9410a55695744b3f133367a45ea2a76ea26d83d90c8f1d3
switchar,,switchar,Afficher et définir le switchar DOS,,freedos,,"DOS, FreeDOS","GNU General Public License, Version 2",65a765d320ad9e7971bc98457973f1a0fe3d9ac71f865cf1efcb6818e74faada
swsubst,,swsubst,SUBST et JOIN,,"freedos, subst, join",,dos,"GNU General Public License, Version 2",6630f3f9dac07407f055b473ea0b8a77e4fc2a54c9185e1fe774d7e8162dd242
syslnx,,Syslinux,Collection de chargeur d'amorçage Syslinux,,eltorito syslinux memdisk isolinux module chaîne,,,"GNU General Public License, Version 2",1134d9ac24a9f2493ba1942c16ed83ef3f3ac0d46ddfc9983eae8bf1c40ce65e
