id,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
etherdfs,ETHERDFS,Ethernet DOS file system (maps a remote drive over raw Ethernet),"EtherDFS is an 'installable filesystem' TSR for DOS. It maps a drive from a remote computer (typically Linux-based) to a local drive letter, using raw ethernet frames to communicate. For years, I was using LapLink to transfer files between my various 'retro' computers. It works, yes, but it's also annoyingly slow and requires constant attention. One day I thought, 'Wouldn't it be amazing if all my DOS PCs could share a common network drive, similarly to how NFS operates in the *nix world?'. This day EtherDFS was born. I clearly didn't invent anything - the concept has been around almost as long as the first IBM PC, and several commercial products addressed that need in the past. I am not aware, however, of any free and open-source solution. Besides, all the commercial solutions I know require to set up a pretty complex network environment first, while EtherDFS doesn't need anything more than just a packet driver.",etherdfs,,DOS,MIT License,11f9ff54f49b9819ac86f615475cdc5320659e1b4c7a4605ce04384f9de941ac
ethflop,ethflop,a network-backed floppy emulator for DOS,"ethflop is a DOS TSR that emulates a floppy disk drive. The emulated (virtual) floppy disk is, in fact, stored on a Linux server as a floppy image. All the communication between ethflop (the TSR) and ethflopd (the Linux daemon) is exchanged over raw Ethernet. No need for any network configuration - the DOS PC only needs to have some kind of Ethernet adapter (physical or emulated, for example through PLIP) and a suitable packet driver. The Linux server and the DOS PC must be connected to a common Ethernet segment (same LAN).","network, floppy, emulator, asm",,DOS,ISC license,743ed1d85d17efef41229b46a8a8308fe8cd8e80bc70d23868b06215fb38615d
ethtools,ETHTOOLS,"A set of diagnostic tools for ethernet networks. Built using the WatTCP stack. Includes ETHWHAT, WWWATCH, ETHSEND, ETHDUMP, ETHWATCH, ETHSHOW,",,ethtools,,DOS,EUPL v1.1,ed75f7c13a337bb395f299dadae64574edc90677cb3cc5481912f488627f9501
euphoria,Euphoria,The Euphoria interpreter/compiler,,euphoria,,DOS,Modified MIT License,d7066ceffff26ad087c67e301c4a4d09b3cbee5bad5e51fdee4d38f910cd9919
ev4de,EV4DE,"EV4DE (pronounced 'evade') is a game about flying a ship through space and avoiding asteroids. Play three different game modes, unlock additional ships, and get a high score! EV4DE can be played with a keyboard, but I strongly recommend using a joystick or gamepad.",,games,,DOS,"GNU General Public License, Version 3",ba1dfcc648e49374805176e607e452914c44432b83152fe366414b5f93ad8dbd
ewsnake,EW Snake,A clone of the classic snake game (aka 'nibbles').,,"snake, nibble",,DOS,"GNU General Public License, Version 2",13bc3c01e38c25305c9afa0cb20b9896b36340db51595bc5d7f274bc89274c64
exe2bin,exe2bin,Convert an exe file to bin format,,freedos,,dos,"Sybase Open Watcom Public License, Version 1.0",e187c33aa6585e539fcd9aa2ac50ad3e89b968265d4c4cb4165738fcf9b91ecf
fasm,flat assembler (fasm),fast but powerful 80x86 assembler,"The flat assembler (abbreviated to fasm) is a fast self-assembling assembler for DOS, Windows and Linux operating systems. It was designed primarily for the assembly of x86 instructions and it supports x86 and x86-64 instructions sets with MMX, 3DNow!, SSE up to SSE4, AVX, AVX2, XOP and AVX-512 extensions and can produce output in plain binary, MZ, PE, COFF or ELF format. It includes the powerful but easy to use macroinstruction support and does multiple passes to optimize the size of instruction codes. The flat assembler is self-hosting and the complete source code is included.","assembler, asm, fasm",,DOS,Modified (2-Clause) BSD License,8d2977828fce06117e33b1a9ab7afb97c019c7282c06e9b6e1464316864d5a16
fasthelp,FASTHELP (was HELP),Display help files,,"freedos, help, man, fasthelp",,dos (Borland C 3.1),GNU General Public License,7e201a9e2246c7e9fcd9f77244c74a22cd89dc9393068ec8e408efcb915b3595
fbc,FreeBASIC,"FreeBASIC, a 32-bit BASIC Compiler",,"basic, compiler",,"DOS, Windows, Linux","GNU General Public License, Version 2",08ab732472296526d100c6c74b62215334cffdefe2d8a6543fed2c052573fa0c
fbc_help,FreeBASIC help files,Help system for the FreeBASIC compiler (FBHELP v0.8b),,"basic, help, compiler",,"DOS, Windows, Linux","GNU Free Documentation License, version 1.3",eba33b5a19b31e9f5301ebed62b30b950d7ba4c25ba404ca231d1ec8291da514
fc,fc,File compare utility,,"freedos, file, compare, fc",,dos (C) *** uses FreeDOS kitten,"GNU General Public License, Version 2",5a60963ec96d1123ebe48be4a9700b2407896efc91aaf5ef18bd85221c2ee500
fdapm,FDAPM,"APM / ACPI control/info, energy saving TSR/control, cache flush, rebooting... {a replacement for MS-DOS POWER}",,"APM, ACPI, power, battery, energy saving, spin down, dpms screen, throttle, reboot, shutdown",,DOS (nasm),"GNU General Public License, Version 2",039eafcc538bb4eda264aca78d34da5fbf6d8aed56a459a8ec87863529ba49ae
fdhelper,FreeDOS Helpers,batch files to perform various tasks in FreeDOS,"Batch programs to perform tasks. Like the 'Welcome to FreeDOS' message, CD/DVD-ROM initialization and more",boot cd dvd language message autoexec config system driver extension,,DOS,"GNU General Public License, Version 2",f5e301eccd72f701e9327153f02956aebd07d92469c3e175fff0c9e22d6f7d89
fdimples,FDIMPLES,FreeDOS Installer - My Package List Editor Software,FDIMPLES is the package list editor for the advanced mode of the FreeDOS Installer (FDI). It also can run as a stand-alone program for a more user friendly interface to the FDINST command line package management utility.,"dos 16 bit, asm, pascal",,DOS,"GNU General Public License, Version 2",51e6b25c1a041443b8d299ca76f2b95bb4e47defc8c527baa38687559e128a2e
fdisk,Fdisk,Fixed disk tool - create partitions.,,"fdisk, format, hard drive, partition, fat16, fat32, partition, mbr",,"DOS, FreeDOS","GNU General Public License, version 2",5090551d9f98cd7ed80c6b02b1723b28b397d98f8cb0c75f3ca9d0a9b04a3cf8
fdisrc,FDI Sources,The FreeDOS Installer (FDI) source files.,,dos batch,,DOS,"GNU General Public License, Version 2",8276ad323c816536b132611595220b2658cd7a44dd567f9ece782a1be75dc97b
fdnpkg,FDNPKG,network-enabled package manager,,"fdnpkg,update,packages",,DOS,MIT,d4fcd05af1c78c9e1f2acc5e9ec4afb0e443c99457425be253811094aa1c9d26
fdpkg,FreeDOS Package Manager,Manages installing removing and updating of FreeDOS packages in zip or 7zip format,,"freedos, packages, zip, 7z, 7zip, install, update, remove",,DOS,"GNU General Public License, Version 2",0a700ba169bdfb2c27c003d70a2af3ab5b5b05232de8f6ab121d1f3384826e00
fdshell,FDSHELL,DOSSHELL graphical user interface implementation for FreeDOS,,DOSSHELL GUI FreeDOS DOS,,,"GNU General Public License, Version 2",3239b1ce415b0f53025a117d75d37d75f502c37c4373360baba3789d147dcade
fdshield,FDSHIELD,"malware action blocker and warner, helps to reduce virus activity on your DOS",,"freedos, vsafe, virus, shield",,DOS,"GNU General Public License, Version 2",97545c95cc5ea9fe537285f30c0aa739e74b48cef847d44cd7554be81d21c085
fdtui,FDTUI,Text User Interface Shell for FreeDOS,,"freedos, shell",,DOS,"GNU General Public License, Version 2 & 3",538fab4e20b80097c7b6bbe5a53587ca2d8a8303a07bfdec92f3e58c219bfbbc
fdupdate,FreeDOS Updater,"The FreeDOS Updater allows to easily maintain your FreeDOS system up to date. It may be used to install new software, too.",,"Updater, Update, FDUPDATE, FreeDOS",,FreeDOS (FreeBASIC v0.20.0),"GNU General Public License, Version 2",9c3d4c7b0c2ab016cd0dec01964ed5671ef4460a9b24a135f56f9ba857c3ffa1
fdxms,fdxms,Replacement XMS driver for '386 systems or better,,"freedos, xms, himem",,dos (ASM),"GNU General Public License, Version 2",daae9ca388a54583c738143e1c2cc6e1ef0d0f0772f549cd73ec4477910b1ca4
fdxms286,fdxms286,Replacement XMS driver for '286 systems or better.,,"freedos, xms, himem",,dos (ASM),"GNU General Public License, Version 2",6bace45f29c365148aadc150b85e0cc67a174a20da3453b1a9e48142393187b3
fed,FED,A folding text editor with color syntax highlighting and more,,"text, editor",,DOS,"GNU General Public License, Version 2",5d832381739d95e394ec40df3812d7d8cbebac1fca32365b8ea8e33b0d487ade
find,find,Display all lines in one or more files that contain a given string. Inverse and case-insensitive search possible as well.,,"freedos, find, grep",,"DOS (e.g. Borland C, Turbo C), includes own KITTEN library version","GNU General Public License, Version 2",f46d8191c784d47d0584726920e6e4de7d23d7fbcd161ccbdfc4f159b98036e8
finddisk,FindDisk,small utility to locate a disk by label,,"freedos, disk",,,Public Domain,5f108885b75660c4bfe0a373ddf33084a8de60ad166ebb1c8d0baea14e5498db
flashrom,Flashrom,Universal eeprom firmware and bios save/update tool,,flashrom flash bios firmware uefi efi,,DOS,"GNU General Public License, Version 2",deed8ae3ec8947bfa41b8ae3b99e073161034948908051ec26e849f5211ae3e7
flpybird,Floppy Bird,"Floppy Bird is a clone of the infamous Flappy Bird written in 16 bit (x86) assembly. In other words it works on RAW METAL and doesn't require an underlying operating system, it is an operating system on its own.",,"games, action",,DOS,MIT License,e46fa9cafa0d65a5ebbf3225297541edd1a9f521c16b242fb0b883b2c68d0e70
fmines,FancyMines,A minesweeper-like game with some nice graphical themes.,,mines,,DOS,"GNU General Public License, Version 3",d782a272385c2474c2ba911b0172548c0f19fee6c5723966f799b86bb7febd05
format,Format,Disk formatting program -- creates FAT file systems and lowlevel formats floppy disks,,"freedos, format, fat12, fat16, fat32, floppy, harddisk, mirror, unformat",,DOS,GNU GPL,c9ccd84ceb94081c61e850d6b7c80c2374421831ad0621a883b60ae85c4f4f20
foxcalc,FoxCalc,A nice calculator. It has a TUI and mouse support.,,"calc, FoxCalc, calculator, FreeDOS, Fox",,DOS (FreeBASIC v0.18.3),"GNU General Public License, Version 2",19a8a3d9ce44986a4185d2921d1fd0efaa31c80643d9e0b2209d0ae66add4d88
foxtype,FoxType,Advanced text file viewer supporting UTF-8,,"text, viewer, UTF-8, UTF8, Unicode, DOS",,dos,"GNU General Public License, Version 2",2f6f2b8d25abf69d60c8c9950a94c30718f375d422ea3a8c97e98e41d181007b
fpc,FreePascal,A self-hosting 32-/64-bit Pascal compiler supporting Turbo and Delphi dialects. (Portions require LFN Support),,"pascal, programming, compiler",,"DOS (Go32v2), FreeBSD, Linux, Mac OS X, OS/2, Haiku, Win32, Win64, WinCE","GNU General Public License, Version 2",2b0cf39de11ddf2169c877136698e3ea8063f49c192313dfa734b075b251b5d8
fpc-srcs,FreePascal (additional sources),Additional source files for FreePascal (Portions require LFN Support),,"pascal, programming, compiler",,"DOS (Go32v2), FreeBSD, Linux, Mac OS X, OS/2, Haiku, Win32, Win64, WinCE","GNU General Public License, Version 2",d8e552661f9af54e08881f32ae4b4c8becfccd181d11086ffa7bac449539ca1c
freecom,FreeCom (Beta),The FreeDOS Command Shell,,freecom freedos command shell,,dos dosemu,"GNU General Public License, Version 2",70f74f0223e5eb2fe1d7ed1aef18d7893d1927ac835ec9d628fedb1c2603c5bf
freedoom,Freedoom,SMMU is a Doom source port derived from MBF and Boom. This version is packaged with Freedoom for a complete gameplaying experience.,,"doom, boom, Freedoom",,"DOS, Win32, Linux",GNU General Public License,882d31a34f194684030fe2efcd3eac374d832631f9d95b5fcd4ec891c0326f33
freemacs,freemacs,an emacs-like editor for DOS (like GNU Emacs),,"edit, editor, unicode",,"DOS, FreeDOS","GNU General Public License, Version 1",64a8512625d3529ba03b326ab70465c1246863434770988b099e062e746a6a15
frotz,Frotz,An interpreter for Infocom games and other Z-machine games.,,,,"DOS, Unix, Windows, Windows CE, PalmOS, Game Boy Advance","GNU General Public License, Version 2",d275c1772f91cfe77dc9bd1ac8baab073b51df2f7f2f5a37734d8c26be741a2c
fte,FTE Text Editor,FTE is a text editor geared toward the programmer.,"FTE is a text editor geared toward the programmer. Syntax highlighting for over 20 languages, plus configurability for many more, makes this a lightweight but versatile editor for any programmer.","edit, program, test",,DOS,"Artistic License and GNU General Public License, version 2",01d5caa6cc003aef5f96101224a1d7120440e5c59b9d883817009ff381e10a9a
ftetris,F-Tetris,tetris clone with joypad support,,hangman,,DOS,Freeware,e310d8e6b8e3231b2553d09064d6ceba02191f269a39a621bd13b223297cb87f
gcdrom,GCDROM,"SATA native IDE CD/DVD-ROM driver for DOS (aka 'ODD DOS driver') supports all SATA Native IDE controller, such as Intel ICH6/ICH7/ICH8, Jmicron 363/368, Nvidia CK804 MCP55/MCP51 etc. (built from a rebranded XCDROM)",,"CD-ROM driver, SATA, driver",,"DOS, FreeDOS","GNU General Public License, Version 2 or later",a4546de9ea5039e075ff28210ef145466b1693b3d2a5ee28f5a1b52d2eebd02e
gifsicle,gifsicle,manipulates GIF images and animations in a variety of ways.,,"gif,editor",,DOS,"GNU General Public License, Version 2",392ea3aa6af685d602ceab06dc8ef88cd6a46d7a4033a9a857bd7278899315f0
gnubc,GNU bc,"bc is an arbitrary precision numeric processing language. Syntax is similar to C, but differs in many substantial areas. It supports interactive execution of statements. bc is a utility included in the POSIX P1003.2/D11 draft standard.",,"calculator, bc, gnubc",,DOS,"GNU General Public License, Version 2",fc7b29f9411b7bf74f89c85ea75ffdd51f6d3d5b170c5a9a9c9250ebb559deae
gnuchcp,GNU chcp,LOADFONT (GNUCHCP) changes the EGA/VGA bitmap font on screen in text mode.,,loadfont gnuchcp bitmap font ega vga screen,,DOS,"GNU General Public License, Version 2",75e018c01d2fcb29bca318ca29fd9e00e024965367ab0afa75214f5bbc50f67a
gnuchess,GNU Chess,"GNU Chess is a communal chess program. Contributors donate their time and effort in order to make it a stronger, better, sleeker program.",,"chess,gnuchess",,DOS,"GNU General Public License, Version 2",5b9f621e365f60cecc93301dac004ed2c4654eb2c4d56ff101d771952823b6dc
gnufonts,GNU chcp fonts,LOADFONT (GNUCHCP) raw EGA/VGA bitmap fonts for text modes.,,loadfont gnuchcp bitmap font ega vga screen,,DOS,"GNU General Public License, Version 2",b9276f521b6a8bcddbbbda8195cb24e64302f4d4407713570cd9cfa743ebf84d
gnused,GNU sed,GNU sed is the GNU implementation of the POSIX stream editor `sed'.,,sed,,"DOS, FreeDOS","GNU General Public License, Version 3",0c72f7b2b74f028852764fdcef2c8b0d831dae0e8960bed383b55059e3965c07
gopherus,Gopherus,"a free, multiplatform console-mode gopher client (16-bit)","Gopherus is a free, multiplatform, console-mode gopher client available for DOS, Linux and Windows. It provides a classic text interface to the gopherspace. Altough primarily targeted for DOS, ports to Windows and Linux are also available. These use SDL2 to emulate a pseudo terminal. (16-bit version)",gopher net network,,DOS,Simplified (2-Clause) BSD License,434661d27b0062260eb9f08ba7807efbb74f087b857f4d650a854208b3352a04
gplv2,GPLv2 Document,"GNU General Public License, Version 2",,"freedos, gpl",,DOS,"GNU General Public License, Version 2",fe4cca5d84b5c6b6355bb2c3bfc28970d773737ba48fdddc4e0be50b4ad2a937
graphics,GRAPHICS,"Allow Prtscr to print graphics screens. (CGA/EGA/VGA/MCGA, on PostScript, ESC/P Epson 8/24pin and HP PCL printers)",,prtscr graphics printer driver dos,,"DOS (Microsoft Visual C++ in C mode, Borland C++), FreeDOS, OpenWatcom, Linux (gcc),",GNU General Public License,d6c87f57103b68978ecc9d60fe4fcf42499f8a6456be098769d11f4b6868c1e7
grep,GNU grep,grep searches files (or standard input) for lines that match a given pattern. The pattern may be a regular expression or a literal string.,,"grep,pattern",,DOS,"GNU General Public License, Version 2",7a994a067da12d3be5c9426eee69e33e16cab2baf1a573e3ed2d0dc7b6669369
gsplay,GSPLAY,a standard MIDI file player.,,"midi, player",,DOS,freeware (source code not available),2ff6df4e16fb9d48588c56306d985ea85b0b0fdff348d50d17c0ec0606e8d983
gzip,GZIP,"GNU zip compression - a file archiver tool, like PKZIP",,"gzip, zip, unzip, archiver, packer",,"DOS, FreeDOS, OS/2, Mac and a lot of others","GNU General Public License, Version 2",5c4e78c2a1f598654f2855b58a79330ac52c4cb68c2c266dc77fa04f74349c80
hangman,hangman,Multilingual hangman,,hangman,,DOS,"GNU General Public License, Version 2",8eca018b52dd10b603df6c9bc017fb5a0f66832e467ba97dd0e2647a8d7d0d07
happylnd,Happyland Adventures,"A classic jump'n'run combined with original puzzle elements, a game full of surprises. Explore the big levels and collect various fruits for bonus. Save the Happylanders in order to rid the world of evilness.",,happyland,,DOS,Freeware,286149394ad554e0bf24aeb12d12e08a0bdde8eafb55839237205d669bb9b00e
head,HEAD,displays a part of a file,,head,,"DOS, FreeDOS","GNU General Public License, Version 2",08e63629e1994d5269b3c64837317f0ff2d4eeb666e96fb949360d7a80acb88e
hexcomp,hexcomp,graphically compares binary files,,"hex,compare",,DOS,"GNU General Public License, Version 3",5c5856de41b193713469e0daedce948d63cf40da8718bf41a0d608f55ec950a1
himemx,HIMEMX,HimemX is a XMS memory manager derived from FreeDOS Himem.,,"XMS, himem, memory manager",,"DOS, FreeDOS","General Public License, Artistic license and Public Domain",9c485c7175622e5d96df9ab36fee88df15779472666f9a5125a1b36795e8d72e
hip,Hide In Picture (HIP),Hide In Picture is a steganography program that hides files inside pictures,,Steganography,,DOS,"GNU General Public License, Version 2",2a4daa03ae9eabde3d19ba9e5e7e737d0a4637f8dc2a0b270e1f352b4e730467
hiram,HiRAM,"Upper Memory (UMB) Extender for 80286, 80386, 80486 CPUs",,"UMB,memory,manager",,DOS,Modified (2-Clause) BSD License,1c5bc7dd43579a7be64b145d82d3c4387a529ce4bbbcf66592d578ebb2316b83
htget,HTGET,HTGET is a file grabber that will get files from HTTP servers.,,"freedos, htget",,"DOS, FreeDOS","GNU General Public License, Version 2",723f0f58f647fe5dd454a1a74a5c8d672398350f9c0f86f09dcf0e0ad5eaabf7
htmlhelp,FreeDOS Help (HTML),HTML viewer and content for FreeDOS help,,"help, html",,"DOS, Turbo C++; Html",Express+GNU Free Documentation License,23721cf3fe958554b9edb95aeac17681fc0c8af36ee14268f36ba8eb9bc49f7c
i16budoc,IA-16 GNU Binutils documentation,Documentation for GNU binary utilities for ia16-elf target,,"gcc, compiler, binutils, as, ld, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",c2f13c7133030923712286dab3a9724142601c42eae9ac3febce5f5d7518ba9b
i16butil,IA-16 GNU Binutils,"GNU binary utilities, for ia16-elf target (on DJGPP host)",,"gcc, compiler, binutils, as, ld, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",fd8f40a5b99ce8cf3145a2c673fc163165f533d34221796d3a88af347cd70c2a
i16elklc,IA-16 elks-libc,"Native libc for ELKS OS, for cross-compiling with GCC IA-16",,"gcc, compiler, elks-libc, djgpp, ia16, elf",,"DOS, Linux","GNU Library General Public License, version 2 or later",eaef97f61eb3925bf827c0dd9a53ec7f1eaef9b817c756bec269adcc5b58f398
i16gcc,IA-16 GCC,GNU C compiler for ia16-elf target (on 32-bit DJGPP host),,"gcc, compiler, c, c99, c11, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",34e5de453177211871539de86f0b8435944afec80f72e300192e69e0caed23ae
i16gcdoc,IA-16 GCC documentation,Documentation for GNU C compiler for ia16-elf target,,"gcc, compiler, c, c99, c11, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",584bb1eed10e7d91b035c94d9a2581e375493db99b4f42057ba3dbcfed258813
i16lbi86,IA-16 libi86,"Non-standard C library routines, for use with IA-16 GCC",,"gcc, compiler, libi86, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",759e3453815a132897a2f04a26515e5466511502c5ad0a3ebf0a7b3eeb06398a
i16newli,IA-16 Newlib,"C library and math library, for ia16-elf target",,"gcc, compiler, newlib, libc, libm, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",1369e394bbf5119b11a4fe14300d1ab18a5be8d3067601f48298049cd61cd8a8
i16nlelk,IA-16 Newlib support libraries for ELKS,Libraries to build ELKS OS programs with GCC IA-16 and Newlib,,"gcc, compiler, elks, newlib, libelks, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",aa6023b1f76f4a576f8a659df046e3fddeac6fc60d58e3a493e28545cf141117
i16src,IA-16 GCC Sources,IA-16 GCC toolchain sources,,"gcc, compiler, binutils, as, ld, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",b7fad386a866779c2d739ea7b39d85c928a9331cac7e2d2a6cc57be932eb6181
ihpfs,iHPFS,Maps a HPFS (OS/2) partition as drive under plain DOS (read-only),,"tsr, os/2, drive",,dos,"GNU General Public License, Version 2",e46a761372096d618ab56296bc22bcacc7a3d00e1078213a87669759f52e0ce4
insight,Insight Debugger,real-mode DOS 16-bit debugger,,"freedos, debugger, debugging",,dos,"GNU General Public License, Version 2",c02aaeb31e6198a64098c079faf52455be9bd07123d0552071704532d34d7a05
installx,FreeDOS v1.1 Installer,INSTALL is a textmode user interface for installing FreeDOS packages (compressed/zip).,,"freedos, install, setup, zip, unzip",,DOS (openwatcom),GNU General Public License,88773c7296d9daa3028d0424b398ea5faae16e35dbd962a6dc1969d4031c3a1d
ivan,Iter Vehems ad Necem,A graphical roguelike game.,,,,"DOS, Windows","GNU General Public License, Version 2",fd2c56f085a437e515598b23b30b1098a5ea2fcb7d88afb1c7cc2b15186e5c7d
jemm,JEMM386,Jemm386 is an Expanded Memory Manager for DOS,"Jemm386 is an Expanded Memory Manager for DOS, based on the source of FreeDOS EMM386. It has several advantages compared to FreeDOS and/or MS-DOS EMM386. * needs only 192 bytes DOS memory * needs very little extended memory * is faster * works with MS-DOS, FreeDOS and EDR-DOS * will use features implemented on later CPUs to further increase speed * unlike FreeDOS Emm386 Jemm386 has full VDS support * can be loaded from the command line","HIMEM + EMM386, STABLE, COMPATIBILITY, memory manager, jemmex, himemx",,"DOS, FreeDOS",Artistic License,f781a7c3d3703a40072d139e27bc001e79a430e712550de413add8e212812c94
jumpbump,Jump'n Bump,Jump'n Bump is a bloody shooting game with fluffy bunnies,,,,DOS,Emailware,884be69a5a0fd2dd42d3ce76fe4e77d470f4fbb88c18ac1f183711ee4b6509b7
jwasm,JWasm,"JWasm is a free MASM-compatible assembler supporting 16, 32 and 64-bit code generation.",,"asm, assembler, compiler, jwasm, wasm",,DOS,"Sybase Open Watcom Public License, Version 1.0",a618ce27b89466f0cde7c9fbf6e0ed522a70207f5d07ec447130985da47251e5
kernel,The FreeDOS Kernel,The FreeDOS Kernel (supports FAT12/FAT16/FAT32),,"kernel, FreeDOS, DOS, MSDOS",,"DOS, FreeDOS, DOSEMU (OpenWatcom C or Turbo C, NASM, UPX)","GNU General Public License, Version 2",5fe9aafe09e0add6107a6a022ffe8bc44e1ad6310060064c06d642398a2ff069
keyb,keyb,Keyboard driver (BIOS level) for international support,,"keyb, keyboard, driver",,DOS,"GNU General Public License, Version 2",ff7c82a22da9c32cbf85d3774b7b9845d64548a35f2450fa35142fc6ae11fe17
keyb_lay,KEYB layouts,Keyboard layouts for KEYB,,"keyb,layouts",,DOS,"GNU General Public License, Version 2",2dcc50e6768d0c82e14779d2c66d964c3ce0233e09fb5729a7f79388dc08bad2
kiloblas,Kiloblaster,Kiloblaster is a fast-paced space shooter arcade game,,,,DOS,Kiloblaster and Xargon Freeware License,72b9f36a5f86251cadb1ab39c7759dcf7acb903cfcc701a24f9ddd51b50bcf43
kraptor,KRaptor,Kraptor is an open-source Raptor-like game complete with several levels.,,"raptor, game, shooter",,"DOS, Win32, Linux",MIT license,3ac3827d1f876a6ec90a12e598c8e39855da7ac63afa2df51767d9a3939bfcf8
label,LABEL,Sets or changes the disk volume label,,"label, disk volume",,"DOS, FreeDOS","GNU General Public License, Version 2",1e3ef6556a413888bc0e33670955ebde1675baa7fceb7f04f4151fd6ef8db66c
lame,LAME,"Utilities for manipulating MP3 music files, including conversion to other formats and uncompression to .WAV.",,"mp3, lame, convert, audio, wav",,"DOS, POSIX, Win32","GNU General Public License, Version 2",c081e9ffca587f3f36e126344d22df35d066ac953683cf7c9c5e33c898357ba3
lbacache,LBACACHE,"Disk cache, caches reads for max 8 CHS / LBA hard disks and floppies, XMS, 386 or better - tickle comes with lbacache!",,"cache, smartdrv, nwcache",,"DOS 386+ (nasm assembler), FreeDOS","GNU General Public License, Version 2",6e2a8b75580d128e8a762f3bc6ad0ebf2bd01ae70e2c2503dba7e2d97aee6bcb
ldebug,lDebug,advanced debugger based on FreeDOS Debug,"features DPMI client support for 32-bit and 16-bit segments, a 686-level assembler and disassembler, an expression evaluator, an InDOS and a bootloaded mode, script file reading, serial port I/O, permanent breakpoints, conditional tracing, buffered tracing, and auto-repetition of some commands.","debug, debugger, DPMI debugger, bootable debugger",,DOS (crosscompile from Linux with NASM and C compiler),"Open source, see LICENSE.TXT",7a77415447b21761c11cd605e085f111e82a25962fe2a8fc885a7281c94b8eed
less,less,"Less is a program similar to more, but which allows backward movement in the file as well as forward movement. Also, less does not have to read the entire input file before starting, so with large input files it starts up faster than text editors like vi.",,"less,more,pager",,DOS,Simplified (2-Clause) BSD License,cf88250dd7ee4665778af4cbf4b9ce68f9e836214a15b1bd47ec539972347710
lfndos,LFNDOS,"Provides the Windows 95 long filename API to DOS programs. Any DOS program which can use long filenames, for example DOS 7 Command.com, edit.com and all DJGPP programs, can load and save using them with LFNDOS. Designed for Win95 users using DOS-mode, although it works under old DOS versions too.",,"long file name, lfn",,"DOS, FreeDOS","GNU General Public License, Version 2",e8044a5e3375d9020508266e2fcd0bad4888a3f715a85df70a1998b84fd01e16
lha,LHa for unix,archiver working with LHA / LZH archives,,"LHA,LHZ,archiver",,DOS,"Open Source, see license.txt",20d9fd40456a593e5e49823bffbbb66af11c4609724d5dbc956f15df2112f95a
lincrawl,Linley's Dungeon Crawl,"A fun game in the grand tradition of games like Rogue, Hack and Moria.",,,,"DOS, AmigaOS, MacOS, OS/2, Windows, GNU/Linux",Crawl General Public License,901b52d5396e8b946420769b1ea0cf0619c7e14e0d050382b21b75ef7be40f97
links,Links,Links is a Lynx-like text and graphics WWW browser.,,"www, browser, internet",,"DOS, FreeDOS","GNU General Public License, Version 2",25ce4384accb95340fbfcdd29a488944a861329e5957f28a87f7ce6d3f64680d
liquiwar,Liquid War,A unique multiplayer wargame.,,,,"DOS, Windows, GNU/Linux, FreeBSD, Mac OS X","GNU General Public License, Version 2",cb7dd988abd60848256ce33b687bf4fd44887a18e16c5d0d94b38cf01e0b3603
localcfg,localcfg,locales preferences configuration tool,,country.sys,,DOS,Simplified (2-Clause) BSD License,8fa84b6fe93ca17da7ab92ab73de9a4f8919d800a83e1b439ef355c5920a3643
localize,Localize,translates texts,,freedos localize batch,,dos,"GNU General Public License, Version 2",bf353ec22604b36cb5d464ded1af0670920681a668178195fd23e480755a7ad1
lpq1,LPQ1,lpq1 is a file compressor and archiver,,"archiver, lpq1",,DOS,"GNU General Public License, Version 3",902d51412b077e3472e8975c94013614d0362a855eb081e7892d6f867977cd6f
lptdrv,LPT Driver,a tool to control LPT-attached devices manually or on a time basis,,LPT,,DOS,Simplified (2-Clause) BSD License,fc5a2fd96d23b1219eabe4a121259ebd6df81d81e1198d9b1f3c9e3922c45821
lua,Lua,Lua is an embeddable scripting language,,lua,,DOS,MIT license,23e9643f5a9fdc0e72b8d7f4c810051eaaa6aec4e01d6ba1ae6c28dbcb3db570
lynx,Lynx,Lynx text and graphics WWW browser (DJGPP port),,"www, browser, internet",,"DOS, FreeDOS","GNU General Public License, Version 2",461e2b0c91979eacef4b53c6b34343743f32871efa967ac4d736f20099d3bee7
lzip,Lzip,A data compressor based on the LZMA algorithm.,,"command.com, shell, interactive",,DOS,"GNU General Public License, Version 3",6b03ea4f24547d43fdb96e4a82b5cc6c90d8f3b8f7fc83405da1b38de6d8c386
lzma,LZMA Utils,Works with .lzma compressed files (different from 7-zip),,lzma,,"DOS/DJGPP, Unix, Windows","GNU General Public License, Version 2",061f3f48ac7bc53d6210a5cd59fb533a836659793173eb203c604b30fd3fcfb8
lzop,lzop,"a compressor similar to gzip, that favors speed over compression ratio",,"lzop, compression",,DOS,"GNU General Public License, Version 2",c3aa35a573b4066afd2bc19fc5705bbc0a2246185d78dc54d1f7d12753f9b611
