id,new,title,description,summary,keywords,platforms,copying-policy,sha
xgrep,,XGREP,"DÅzenli ifadelerle UNIX benzeri 'grep' klonu","DÅzenli ifadeleri destekleyen hçzlç UNIX benzeri 'grep' klonu","freedos, dosyalar, bul, grep, ara, metin, unix gibi","DOS (Arrowsoft Assembler, WarpLink)","Sçfçr koüullu BSD Lisansç",d48897d5519e143c70f5028f05b008bec1bcd526191230bda21b0c725abde944
xkeyb,,xkeyb,"Uluslararasç destek iáin klavye sÅrÅcÅsÅ","Uluslararasç destek iáin klavye sÅrÅcÅsÅ. Ayrçca KEYMAN + KLUB + LISTDEF + SCANKBD iáerir","keyb, klavye, sÅrÅcÅ","DOS, FreeDOS","GNU Genel Kamu Lisansç, 2. SÅrÅm",73a7d5fc5fbaed3a2a20e4ba3ff1712301d20313124797b2e73efc6e28e69d3e
xmgr,,XMGR,"XMGR, 4 Gigabayta kadar RAM belleßi yîneten ve V3.70+ UMBPCI destekleyen bir XMS yîneticisidir",,"sÅrÅcÅ, yînetici, ram, umb, xms","DOS, MASM 5.1","Kaynak koduyla bedava",c99d11358ac7cb8b800e9174e9c59859db5bb4c66adfed5d8020cddfd0c75a7a
yapcbr,,"Yet Another PC Bridge","Paket sÅrÅcÅleri iáin katman 2 kîprÅsÅ (bir bilgisayarç switch'e dînÅütÅrÅr)","Bu kîprÅ, Kendini ôßrenen ûeffaf kîprÅler sçnçfçna aittir. Bu kîprÅ iáin herhangi bir Ethernet kartç (veya farklç satçcçlardan gelen kartlar karçüçmç) kullanabilirsiniz. Tek ihtiyacçnçz olan bu kartlar iáin uygun paket sÅrÅcÅleridir. Ethernet kartlarçnçn áoßu iáin paket sÅrÅcÅleri kamu malçdçr ve crynwr.com adresinden edinilebilir. Bu kîprÅ, MSDOS sÅrÅm 3.0 veya ÅstÅnÅ áalçütçram bir PC veya AT kullançlarak kurulabilir (sabit disk gerekli deßildir, disket sÅrÅcÅsÅ yeterlidir). Bu, geniüleyen bir aßaá kîprÅsÅ deßildir ve bu nedenle aß yollarçndaki dîngÅleri algçlayamaz.",kîprÅ,dos,"GNU Genel Kamu Lisansç, 1. SÅrÅm",cbe11727c3edc9251dccb52e09dd170f5a8d3079d93ce5f94d1fe7a2e2dfc005
yasm,,Yasm,"Yasm, NASM assembler'çn tÅmden yeniden yazçlmasçdçr. (UPX ile sçkçütçrçlmçütçr)","Yasm, 'yeni' BSD Lisansç altçnda NASM toplayçcçsçnçn tamamen yeniden yazçlmasçdçr (bazç bîlÅmler dißer lisanslar altçndadçr, ayrçntçlar iáin COPYING dosyasçna bakçn). Yasm gÅncel olarak x86 ve AMD64 komut setlerini desteklemekte, NASM ve GAS birleütirici sîzdizimlerini kabul etmekte, ikili, ELF32, ELF64, 32 ve 64 bit Mach-O, RDOFF2, COFF, Win32 ve Win64 nesne biáimlerini áçkarmakta ve STABS, DWARF 2 ve CodeView 8 biáimlerinde kaynak hata ayçklama verileri oluüturabilmektedir. Yasm, Win32 veya Win64 nesne dosyalarçna NASM veya GAS sîzdizimi kodunun birleütirilmesi iáin Visual Studio 2005/2008 ve 2010'a kolayca entegre edilebilir.","nasm, asm, gas, yasm, assembler, assembly, DJGPP, Visual Studio",DOS,"Sadeleütirilmiü (2 Koüullu) BSD Lisansç ve Gîzden Geáirilmiü (3 Koüullu) BSD Lisansç",510c01309a343457648600b590081e0d553796c3b24d003c7b7f512ff101cc6e
z26,,z26,"Bir Atari 2600 emÅlatîrÅ",,"atari, îykÅnÅm",DOS,"GNU Genel Kamu Lisansç, 2. SÅrÅm",e2817e0340a5611dac35da2231887969c023e8f561d51e29e21dbdbe0eb54d20
zboy,,zBoy,"GameBoy classic emÅlatîrÅ",,"gameboy, emÅlatîr",DOS,"GNU Genel Kamu Lisansç, 3. SÅrÅm",8953615001c7809de6e524cfe72460ef2a7d7745e63fc94818b814538890dc0d
zdir,,ZDir,"ZanySoft Dizin Listeleyici","ZDir, kÅáÅk bir DOS dizin listeleyicisidir. ZDir otomatik olarak kaá sÅtun gîrÅntÅleneceßini belirler, tam bir aßaá gîrÅntÅleyebilir, renkler tamamen yapçlandçrçlabilir, tÅm metin kiplerinde áalçüabilir ve yçldçrçm kadar hçzlçdçr (assembly dilinde yazçlmçütçr).","asm, assembler, assembly, a86, dir",DOS,"GNU Genel Kamu Lisansç, 3. SÅrÅm",1886bdc79de96a95ab19669a88ac2e3bc401a24e8a35c10edbdfa291ec787154
zerofill,,Zerofill,"Bir diskteki boü alanç sçfçrlar ile doldurur.","Bir diskteki boü alanç sçfçrlar ile doldurur. Sanal makine ve disk sçkçütçrma yazçlçmlarçnçn birimdeki atanmçü alanç sçkçütçrmasçna ve bîylece disk kullançmçnçn azaltçlmasçna yardçmcç olur.",dos,DOS,"GNU Kçsçtlç Genel Kamu Lisansç",f84321739a1eda704d77a00be07d07472760aae9c677b894c36ec211d6814bbb
zip,,zip,"PKZIP gibi bir dosya arüivleme aracç","PKZIP gibi bir dosya arüivleme aracç.","freedos, zip, infozip, pkzip","dos, unix, mac","ôzgÅr Yazçlçm, lisansa bakçn",821ef922417996251d29f7930034d314859540624a0c072f8953d41c1dc5eea8
zmiy,,zmiy,"DOS ve 8086 iáin bir yçlan oyunu","DOS ve 8086 iáin (Nibbles gibi) bir yçlan oyunu","nibbles, yçlan",DOS,"Sadeleütirilmiü (2 Koüullu) BSD Lisansç",65b6a5921155eae12db342bc442ff2b9855ff9d3b905c14cb06e5d5fbfc6fa3f
zoo,,zoo,"zoo arüivlerini yînetin","zoo arüivlerini yînetin.",zoo,,"Kamu malç",45244672487c1044a7a900c7e004df2a2ceb6d3c71b8404fef46198ec8e5b5f9
zsnes,,Zsnes,"Bir Super Nintendo emÅlatîrÅ","Bir Super Nintendo emÅlatîrÅ.",,"DOS, GNU/Linux, Windows","GNU Genel Kamu Lisansç, 2. SÅrÅm",381be8475d85ef732fd01b6f85a25f2257866963276a1fc32de2ce3aea3c778a
