id,new,title,description,summary,keywords,platforms,copying-policy,sha
4dos,,4DOS,"4DOS, iületim sisteminizle beraber gelen komut yorumcusunun yerine geáer. (4DOS, DOS iáin COMMAND.COM'un yerine geáer)",,"command.com, kabuk, etkileüimli",DOS,Modified W3C License,2a60bde53e9ea2c5b740429dc559a5258763c928e402022d30c21745334b0836
7zdec,,7zdec,.7z dosyalarç iáin arüiv aáçcç,"7-Zip arüivleri iáin kÅáÅk, baßçmsçz aáçcç (ANSI C kaynak kodu ile)","7z, 7zdec, 7zdecode, arüiv araálarç","DOS, Windows, *nix",public domain,39460f310e4d3e7e135fa29963132e1a7eaeece29fa1c3efed35494c02bc36b4
adplay,,AdPlay,OPL2/3 ses kullanarak áoklu biáimde mÅzik áalçcç,,"adplay,adplug",DOS,zlib/libpng License,4d2043231ed4a0dba6b74454ef4c35330de1f76c93b5ef5d0976625e1a55d366
adt2,,Adlib Tracker 2,OPL3 FM mÅzik bestelemek iáin izleyici,,"izleyici,adlib,opl3",DOS,Fair License,13fc08e4b59d16f6920bbffa18e9fa6a67a1e135042b38a73f19f4a3f6dae69f
aefdisk,,aefdisk,DOS iáin komut satçrç arayÅzlÅ disk bîlÅmleme yardçmcç programç (Open Watcom iáin taüçnmçütçr),,dos fdisk bîlÅm,DOS,"GNU General Public License, Version 2",2ba7c24edb8b4f1fd4513b671cd919f2b9a0666784c46836a946ba3ab64d0c51
ambhelp,,FreeDOS Help,AMB biáiminde FreeDOS yardçm dosyalarç,,"freedos, yardçm, doc, metin, amb",DOS,"GNU Free Documentation License, Version 1.1",f5bf51c293c9906b37c6c5b63860571f1f54c54a3c1455d1708df192fd66acfe
ambpack,,AMB Packager,AMB (Ancient Machine Book) dosyalarçnç paketleyen ve aáan arüiv yîneticisi,,"metin, doc, arüiv yîneticisi",DOS,MIT,10794200e3017d17d66aa33b0f1f45bc6bb4502df113e6a6c6a7837fd15510d5
ambread,,AMB Reader,Ancient Machine Book biáimi gîrÅntÅleyicisi,"AMB AMB (eski makine kitabç) dosyalarçnçn okuyucusudur. AMB 'eski makine kitabç' anlamçna gelir. En eski PC'lerde bile rahatáa gîrÅntÅlenebilecek her tÅr metin belgesini saklamak iáin aüçrç hafif bir dosya biáimidir: teknik kçlavuzlar, kitaplar vs. Onu bir *.chm yardçm dosyasçnçn eski eüdeßeri olarak dÅüÅnÅn.","metin, doc, gîrÅntÅleyici",DOS,MIT,d753a8a5f753f7b9a8a1c5be71b8243c76a1c83c06d374dbeb53bc2e012587d4
ansimat,,ANSiMat,"ANSiMat, ANSI dosyalarç iáin grafik bir gîrÅntÅleyicidir. ANSI dosyalarçnç alçüçlagelmiü (BMP/PCX/PPM/TGA/TIF) grafik dosyalarçna veya FLC (FLiC) canlandçrmalarçna dînÅütÅrmek iáin de kullançlabilir.",,"ansi, gîrÅntÅleyici",DOS,"GNU General Public License, Version 3",eb12b914f5710425c9ec5afc72433ec16c7be0e6c302f3198064f78a641f97b0
apack,,aPACK,DOS 16-bit áalçütçrçlabilir sçkçütçrçcç,"16 bit DOS áalçütçrçlabilir sçkçütçrçcç. aPACK, áalçütçrçlabilir tutarken dosyayç sçkçütçrçr. aPACK, en iyi sçkçütçrma orançnç elde etmek iáin geliümiü sçkçütçrma sezgisi ve pÅf noktalarç kullançr. aPACK, yçllardçr en iyi 16 bit DOS áalçütçrçlabilir paketlerinden biri olarak kabul edildi.",executable packer,DOS,Freeware,09a2b10190c1efef5ce0d6a85385c29b1f95345cdc78fd4b81f9b176d4a7ff36
append,,APPEND,"APPEND, programlarçn belirtilen dizinlerdeki veri dosyalarçnç gÅncel dizindeymiü gibi aámalarçna imkÉn verir.",,"freedos, ekle, data, dosyalar, dizinler",DOS (nasm),"GNU General Public License, Version 2",e6d494992b1a5950db3218cafae9025f49842786af2c3c8e96a4490439ce8197
arachne,,Arachne,Bir DOS ònternet tarayçcçsç (8086 ve i386 sÅrÅmleri),,"aß, www, tarayçcç",DOS,"GNU General Public License, Version 2",b0f1fd2efd113cf72872efeebfde7d02475488715ab870f795691dd364bdaec5
arj,,ARJ,Aáçk kaynaklç ARJ arüiv yîneticisi.,,,DOS,GNU General Public License,932b722d7c4e3f94704774b4ea54d53d99808e2bcfb5410346fbfe6819158709
assign,,assign,Farklç bir sÅrÅcÅye sÅrÅcÅ harfi ata,,"freedos, assign",dos,"GNU General Public License, Version 2",be4ee0d564b2695a9595891264f6f19d56d975427df0cc91ba3da2a23e2d1f2a
atapicdd,,ATAPICDD,Kamu malç ATAPI (IDE) CD-ROM DOS cihaz sÅrÅcÅsÅ,,DOS CD-ROM sÅrÅcÅ,DOS (NASM/TASM),public domain,500a557e1aab84fc6f609c631a251792c44408242cdda8d654dc08e88ddd0ba8
attrib,,attrib,Dosya îzelliklerini gîrÅntÅle ve ayarla,,"freedos, attrib",dos,"GNU General Public License, Version 2",e3bf5b785f4d41a9ebd07dc3f61fb2350a27a5ed9d420145acad6863145ba2b9
b64,,b64,RFC1113 tarafçndan tançmlanan Base64 òáerik-Aktarçm-Kodlamasç standardçnç uygulayan yardçmcç program.,,"b64,base64",DOS,MIT license,a098c8132f6ca962ed7d258aa60e76201b65f38bde0ac751e713fd2903e55d24
basec,,basec,BASic Emulation Compiler (BASEC) bir p-code derleyicisidir.,,"basic, programlama","DOS (djgpp), Sparc-Sun-Solaris, OpenBSD, SGI-IRIX, Linux(x86)",GPL,b6535a5c6a8887f158fed4a0a19507c29c5fd0abc60455568cd91386fdf47707
batt,,batt,GÅncel gÅá ve pil durumu hakkçnda bilgi gîrÅntÅleyen kÅáÅk bir program,"BATT, mevcut gÅá ve batarya durumu (kalan üarj ve áalçüma sÅresi) hakkçnda bilgi gîrÅntÅlemek iáin kÅáÅk bir programdçr, bu da mobil ortamlarda kritik olabilir ancak DOS ile áalçüçrken kolayca bulunamayabilir, geliümiü gÅá yînetimi BIOS arayÅzÅ aracçlçßçyla kolayca temin edilebilir olsa bile. Sade DOS altçnda áalçüacak üekilde tasarlanmçütçr ve MS Windows ile áalçümayabilir.","dos, apm, pil, gÅá",DOS,'Modified' BSD License,0170830ccde1a585897d4ed5904c5c17c00cb80bf590a892d1503c0b67bac374
bcc,,bcc - Bruce's C compiler,"Bruce'un C derleyicisi, kÅáÅk modeller iáin 8086 assembler Åreten sade bir C derleyicisidir.",,"K&R,C89,C,derleyici",DOS,"GNU General Public License, Version 2",d0fb57da0ed806888270c3b46ae7d0d8d54da2bb0896b6d68dc0a66752243bf0
biew,,Biew,"Biew, bir ikili/onaltçlç gîrÅntÅleyici/dÅzenleyicidir. (i686+ gerektirir)",,"Biew, ikili, onaltçlç, gîrÅntÅleyici, dÅzenleyici",DOS,GNU General Public License,37c9334ac4bfbb6d484a432538bd0abd33dacdc2cb36d3b49035e13cce428b86
bin2asm,,Bin2Asm,òkili bir dosyayç assembly dili verilerine dînÅütÅren sade bir program,,dos geliütirme,DOS,BSD 3-Clause License,5a1719cbf8e9addcec6b652abf8e8ad036256aa6afd20d863eefa8958b1ba130
bin2c,,bin2c,BIN dosyalarçndan C'ye kaynak oluüturucu,,"freedos, bin, c, dînÅütÅr",dos,GPL,eb8e1fd8125ab9897a1c76ba5ea4d7878de60a267f0a1af862301208f5d7cb22
bladeenc,,BladeEnc,Blade'in MP3 Kodlayçcçsç WAV/AIFF/RAW verilerinden MP3 oluüturur.,,"mp3, kodlayçcç",DOS,"GNU Lesser General Public License, Version 2.1",55e6fc852657742499fdb6a7dd91540a0e9b2dfee19556d9720e4ee8558de206
blkdrop,,BlockDrop,DÅüen bloklara dayalç bir oyun,DÅüen bloklara dayalç ve Tetris ile hiábir alakasç olmayan bir oyun. (Fare ve 386+ iülemci gerektirir),"oyun, blok",,,55e6fc852657742499fdb6a7dd91540a0e9b2dfee19556d9720e4ee8558de206
blocek,,Blocek,Unicode ve resim biáimleri destekli grafik metin dÅzenleyicisi,,"dÅzenleyici, unicode",DOS,GNU General Public License,bf05e6785010909e67949ea77fcebf60f5020e11a7c1500bb4faaca90785b1a8
