id,new,title,description,summary,keywords,platforms,copying-policy,sha
jwasm,,JWasm,"Jwasm ist ein freier, MASM kompatibler, Assembler fÅr 16, 32 und 64bit Code.",,"asm, compiler, assembler, wasm, jwasm","DOS, FreeDOS","Sybase Open Watcom Public License, Version 1.0",b7e86afd5cee898bbdb77db5a7de8aca82a19a1526c6a7987347538ddf34d15e
kasmar,,Kasmar,"Ein Unicode-Font-Editor, mit dem Sie Bitmap-Unicode-Fonts erstellen oder Ñndern kînnen, die in Blocek verwendet werden.","Ein Unicode-Font-Editor, mit dem Sie Bitmap-Unicode-Fonts erstellen oder Ñndern kînnen, die in Blocek verwendet werden.","editor, unicode",DOS,GNU General Public License,71726ea08cecf6ac4125833fa7c5210ef36b8497a1aba70130ba5605d60af4bc
kernel,,The FreeDOS Kernel,Der FreeDOS Kernel (unterstÅtzt FAT12/FAT16/FAT32).,,"kernel, freedos, DOS, MSDOS","DOS, FreeDOS, DOSEMU (OpenWatcom C oder Turbo C, NASM, UPX)","GNU General Public License, Version 2",feb32ed1b88a2b3cd5cf4110308ec0cc11dd373156d47bbab1b77091963c8096
keyb,,keyb,Tastaturtreiber fÅr internationalen Support (BIOS-Level).,,"keyb, keyboard, driver, Tastatur, Treiber",DOS,"GNU General Public License, Version 2",fa1aabf10795b6411e07f4e8feb783e5f374cf934c3169df92f71aa487d02a83
keyb_lay,,KEYB layouts,Tastaturlayouts fÅr KEYB.,,"keyb,layouts, Tastatur, Tastaturlayout",DOS,"GNU General Public License, Version 2",dce8e98517e4c862c74e1212a6ef6a329ff12e7e4f3ea6f4cc71fbe6a611c082
kiloblas,,Kiloblaster,Kiloblaster ist ein sehr schnelles Space Shooter Arcade Spiel.,,"space, shooter, games, Spiele",DOS,Kiloblaster and Xargon Freeware License,0078b069f2dd6f2047a2be280ab8edc3cb2778c90ca4b3086484a5d7c6df727f
kittenc,,kittenc,catgets/kittengets-kompatibler Ressourcen-Compiler,,"dos, lib, devel",DOS,"GNU Lesser General Public License, version 2.1 (or later)",362923a8e268321ee321a877fbb4b151adfaed4ab8a1ebdece0ab4176358ab9c
kraptor,,KRaptor,Kraptor ist ein OpenSource Raptor Spiel mit vielen Levels.,,"raptor, games, shooter, Spiele","DOS, Win32, Linux",MIT License,0343be7a7caf2a93b76f41a08e74784ad75cb765174a8a3d6d9b041669e49714
label,,LABEL,Setzt oder Ñndert die DatentrÑgerbezeichnung (label).,,"label, disk volume","DOS, FreeDOS","GNU General Public License, Version 2",2c33c9a08b8fc5c38fb66b45507c54c4e652b2a70d2c5f83531e27ec51255a26
lame,,LAME,"Utilities zum Manipulieren von MP3-Dateien, wie z.B. Umwandeln in andere Formate und Entpacken nach WAV.",,"mp3, lame, convert, audio, wav, Umwandeln, Konvertieren","DOS, POSIX, Win32","GNU General Public License, Version 2",666059370a391dbb958941f80d201980e1a8432d136834e792911540a5d920ab
