id,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
bin2asm,Bin2Asm,simple program to convert a binary file to assembly language data,,dos devel,,DOS,BSD 3-Clause License,5a1719cbf8e9addcec6b652abf8e8ad036256aa6afd20d863eefa8958b1ba130
drvdiag,Drive Diagnostics,a Drive/Device diagnostic utility for developers.,"This is NOT a checkdisk type program. It is a utility for developers to assist in OS, Device Driver and program debugging.",dos dev,,DOS,BSD 3-Clause License,e0f7f3738302031d403ce083f11340eb41ff08722bec70d3f4b7e54de33d3c89
kittenc,kittenc,catgets/kittengets compatible resource compiler,,"dos, lib, devel",https://www.ibiblio.org/pub/micro/pc-stuff/freedos/files/devel/libs/kitten/,DOS,"GNU Lesser General Public License, version 2.1 (or later)",362923a8e268321ee321a877fbb4b151adfaed4ab8a1ebdece0ab4176358ab9c
