id,new,title,description,summary,keywords,platforms,copying-policy,sha
sdwrgmpd,*,"SideWinder GamePad Driver","SideWinder GamePad in DOS verwenden.","Verwenden Sie Ihr Microsoft SideWinder GamePad in DOS.","DOS, games, Spiele",DOS,"Freeware, see documentation",8a7bc3a0449fcfff7e51bbf50d92050a51aea74897900fc73e899fc68b757ef0
seal,,SEAL,"Eine 32 Bit grafische BenutzeroberflÑche.","SEAL ist eine grafische 32 Bit BenutzeroberflÑche (GUI) fÅr DOS. Es hat einige fortgeschrittene Features, wie z.B. ein dynamisches Linkersystem (XDL), Sound und andere Multimediafunktionen und ist mehrsprachig.","SEALl, GUI, FreeDOS, DOS, grafische BenutzeroberflÑche","FreeDOS, DOS","GNU General Public License, Version 2",230780f41fd5846bfed15b07dca0fd27efd3322d64128689c9612a28137b16b5
search,,Search,"Findet Dateien auf dem Computer.","Findet Dateien auf dem Computer.","FreeDOS, search, Suche",DOS,"GNU General Public License, Version 2",edea9aa8b12ba9e01b3fba45a10e3604683047d00b0368d26ad918b1ab2f9559
senet,,Senet,"Sehr altes Spiel aus dem alten égypten.","Senet ist ein sehr altes Spiel, das bis ins alte égypten zurÅckreicht. Da es so alt ist und niemand im alten égypten die Regeln fÅr spÑtere Generationen aufbewahrt hat, sind die genauen Regeln ein RÑtsel. Historiker haben versucht, die Regeln von Senet herauszufinden, aber sie sind sich in Details nicht einig.","Games, Spiele",DOS,"GNU General Public License, Version 2",588aed8e23387ac2b40e63e2801125fea9525ac9dfdaba31802ed04de3d41df6
serilmon,*,Serial,"öberwacht Status der seriellen COM-Ports.","TSR zur öberwachung des aktuellen Status der seriellen COM-Ports.","DOS, games, Spiele",DOS,"Freeware, see documentation",3dccdcdb1d79efff3f7e2096dde5382b9f4bc9b0d6cf9322ce8e866d9478e066
setedit,,setedit,"Programmier-Editor fÅr DJGPP.","Setedit ist ein freundlicher Konsolen-Texteditor mit dem Look-And-Feel des Borland Editors fÅr DOS. (Anmerkung: setedit funktioniert nicht unter DOSBOX)","editor, unicode, DJGPP",DOS,"GNU General Public License, Version 2",0b9e40c1ded9af0e56caec6ddd5480ba531020a90be05620b4e8bc581f80f3f3
setlock,,SetLock,"Caps, Num und Scroll Lock Tasten festlegen.","Caps, Num und Scroll Lock Tasten per Software festlegen.","lock, caps, num, scroll, set","DOS, FreeDOS","GNU General Public License, Version 2",f8e5170eb5942f428a9797efc7e2a9872e80506189382ed2b74d146a07d56820
share,,SHARE,"File-Sharing und Sperren von Dateien.","Installiert Dateifreigabe- und Sperrfunktionen auf Ihrer Festplatte - nur fÅr den FreeDOS-Kernel.","share, file sharing",FreeDOS,"GNU General Public License",3c1218e3885cd59890acaee791273d20b4ef437ac6218ae5488e4fd4473ea5d8
shareext,,shext,"Share Extender.","Share Extender.","share extension","DOS, FreeDOS","GNU General Public License, Version 2",11bc5c05de37564e4e842a514235eb1ed12caab17e5a5d45331f10299bfae890
shsucd,,"SHSUCD Suite","Programme, die sich mit CD-ROM befassen.","Die SHSUCD-Suite ist eine Reihe von Programmen, die sich mit der CD-ROM befassen. Sie ermîglichen den Zugriff auf die CD-ROM als normalen Laufwerksbuchstaben, erstellen eine Image-Datei aus dem Inhalt einer CD-ROM, greifen auf eine Image-Datei als Laufwerk zu und testen bestimmte CD-ROM-Funktionen. SHSUCDX-BinÑrdateien sind in diesem Paket nicht enthalten, um keinen Konflikt mit dem SHSUCDX-Paket zu verursachen.","mscdex, shsucdex, fdcdex, cdrom, atapicdd, xcdrom, shsucdx, shsucdhd, shsucdrd, shsudvhd, shsucdri, omi, isobar, cdtest, smarter","DOS (NASM), FreeDOS","Open Source (copyright reserved, free use program)",4df00f8ce6f643dd19a8c9177a147eb397d0d2629c42d881ed89dd63a9b8d9ab
shsucdx,,SHSUCDX,"CD-ROM und DVD-ROM Extender.","CD-ROM und DVD-ROM Extender.","mscdex, shsucdex, fdcdex, cdrom, atapicdd, xcdrom","DOS (NASM), FreeDOS","Open Source (copyright reserved, free use program)",a38290990cc82253090d53b6af7c00f2868d95bb89d11e8862bbdaf98739e755
shsufdrv,,SHSUFDRV,"Treiber fÅr Disketten-/Festplattenimages.","SHSUFDRV ist ein Treiber fÅr Floppy- und Festplattenimages (z.B.: ISO). SHSURDRV kopiert ein Image in den Arbeitsspeicher und/oder erstellt Ramdrives.","Treiber, driver, floppy, images, hard disk, ram drive","DOS, FreeDOS","Freeware / source code available",6d7dbad861a8068bacca6e71711b069418b4b91cd7ce6df76dce6d34f02c4fa6
