id,new,title,description,summary,keywords,platforms,copying-policy,sha
jumpbump,*,Jump'n Bump,Jump'n Bump is a bloody shooting game with fluffy bunnies,,,,Emailware,
lib,*,LIB,"In the FreeDos project there was missing a free librarian, an assembler, a C compiler and a linker are already available, but no librarian has been found!",,"c, programming, library",,GPL,
lzmasdk,*,LZMA SDK,LZMA Software Development Kit,"The LZMA SDK provides the documentation, samples, header files, libraries, and tools you need to develop applications that use LZMA compression. LZMA / LZMA2 are default and general compression methods of 7z format in the 7-Zip program.","c, assembly, programming, library, 7z, 7zip",,Public Domain,
marauder,*,Marauder,space shooter game,,,,Free w/sources,
mbldr,*,Master Boot LoaDeR,alternative MBR boot loader that fits in a single sector,,MBR,,Modified (2-Clause) BSD License,
memmap,*,Memory Map,program to display the memory map,"Map is a program to display the memory map. It can list only programs and device drivers, or the full list of memory control blocks. It can also list device drivers, interrupt vectors and the high memory area (HMA). It is based on Map 2.0 by Peter Sulyok. It requires DOS 5+ and a 386+.",dos 16 bit edit command,,Free w/sources,
metakern,*,MetaKern,"Allows to install several DOS / Windows kernels on a single disk or partition: Loaded by the FreeDOS boot sector, MetaKern lets the user select a kernel at boot time. Read the manual before use!",,"dual boot, boot menu, freedos, dos, windows",,GPL 2,
microweb,*,MicroWeb,a DOS Web browser for 8088 class machines,,"network, www, browser",,"GNU General Public License, Version 2 or Later",
midiplay,*,MidiPlay,play a MIDI file through a PC's internal speaker.,,"midi, music, speaker",,freeware w/source,
mouskeys,*,MouseKeys,use a mouse with any program,,"DOS, GAME",,"Freeware, see documentation",
mpxplay,*,Mpxplay,"Plays audio w/ its own built-in modern soundcard drivers: AAC, AC3, APE, FLAC, MP2/MP3, MPC, OGG (VORBIS), WMA, WAV, WV, CDW.",,"mp3, ogg, vorbis, wav, music, speaker, sound, blaster",,Source code available (open),
noise,*,Noise,Random number generator device driver,,DOS random driver,,"BSD, 3-Clause License",
openxp,*,OpenXP,A text-based Mail program,"CROSS POINT (XP) is a text-based Mail program for many different mailbox networks such as FIDO, ZConnect and naturally also Internet Mail and News.","mail, news",,"GNU General Public License, version 2 or later",
orangec,*,Orange C,The Orange Toolchain is designed for DOS/WIN32.  It uses win32 binaries along with Japheth's WIN32 emulator for DOS to get the MSDOS functionality.,"The Orange C/C++ Compiler is new work which includes an optimizing compiler, a tool chain, and an IDE.  The compiler itself uses various standard techniques, as well as some interesting techniques mentioned in literature. This compiler has support for the various C standards through C11, and full support for C++ 14.  The IDE for the compiler is a full featured C/C++ language IDE including a colorizing editor with code completion, integrated make facility, debugger, and a WIN32 resource editor. The tool chain is highly generic and the possibility exists to customize it for embedded platforms (or for that matter for example for other operating systems) using various linker customization files along with backend code generation programs.  The existing backend code generation programs support WIN32 and MSDOS executable formats, along with a backend generator that will output Intel and Motorola hex files.  The assembler uses a simple architecture description language to customize the code generation.  The C Run time library this compiler uses is an enhancement of the RTL used by CC386.  The Run time library in this package has WIN32 headers and an import library, many windows programs will compile with it although there are a few incompatibilities.","develop, c",,"Open Source, see Licenses",
pacificc,*,pacific-c,Freeware version of the Pacific C compiler.,,"freedos, compiler, c",,free (source not available),
