id,title,description,summary,keywords,platforms,copying-policy,sha
blkdrop,BlockDrop,A falling block game,A falling block game that is nothing like Tetris. (Requires a mouse and 386+),dos game,DOS,BSD 3-Clause License,199171a5124daaf266f823287a3d0c492069aa91ec3d32ea2c61dbe21dd38547
sayswho,SaysWho,A simple memory game.,"A simple classic memory game. (Requires a 386+, PC speaker recommended)",dos game,DOS,BSD 3-Clause License,b70aed44804f491e6c0362af02132e6044c4fb29d275b72ba7fa27de68417f2d
