id,new,title,description,summary,keywords,platforms,copying-policy,sha
hiram,,HiRAM,"Extenseur mÇmoire haute (UMB)","Extenseur mÇmoire haute (Upper Memory, UMB) pour processeurs 80286, 80386, 80486","UMB,mÇmoire,gestionnaire",DOS,"Licence BSD modifiÇe (Ö 2 clauses)",fa4fdb328e6b2f5177881fc9217bc0fe28a403744229734782ce8d408a5446b8
htget,,HTGET,"TÇlÇcharger des fichiers Ö partir de serveurs HTTP","HTGET est un gestionnaire de fichiers qui rÇcupÇrera des fichiers Ö partir de serveurs HTTP.","freedos, htget","DOS, FreeDOS","Licence publique gÇnÇrale GNU, version 2",8d7eccbb7e002c49d4d329bd061c1c3805b244f1919178fb1c53e74bd9fff77c
htmlhelp,,"Aide FreeDOS (HTML)","Les fichiers d'aide de FreeDOS au format HTML","Les fichiers d'aide de FreeDOS au format HTML","aide, html","DOS, Turbo C++; Html","Expräs+Licence de documentation libre GNU",75540618878932c875c81e8c89c1a3ba218aae04f0c0ad0eceb5104f9376fce2
hxdosdev,,"HX DOS DEV","Support de dÇveloppement pour l'extenseur HX DOS ","Utilitaires d'appui au dÇveloppement d'applications pour l'extenseur HX DOS.","DOS, Windows, DPMI","DOS, FreeDOS","Freeware avec le code source",0000000000000000000000000000000000000000000000000000000000000000
hxdosgui,,"HX DOS GUI","êtendre la prise en charge d'applications Win32 de HX DOS","Extension pour l'extensur HX DOS afin d'amÇliorer la prise en charge d'applications Win32.","DOS, Windows, DPMI","DOS, FreeDOS","Freeware avec le code source",0000000000000000000000000000000000000000000000000000000000000000
hxdosrt,,"HX DOS Extender","ExÇcutez des applications DOS Çtendues ou console Win32  sous DOS.","L'environnement d'exÇcution Extenseur HX DOS permet d'exÇcuter des applications console Win32 ou DOS HX Çtendues sous DOS. De plus il existe une prise en charge limitÇe pour exÇcuter les applications graphiques Win32 (DirectDraw, GDI, OpenGL). ","DOS, Windows, DPMI","DOS, FreeDOS","Freeware avec le code source",0000000000000000000000000000000000000000000000000000000000000000
i16budoc,,"IA-16 GNU Binutils documentation","Documentation pour les utilitaires binaires GNU pour une cible ia16-elf",,"gcc, compilateur, binutils, as, ld, djgpp, ia16, elf","DOS, Linux","Licence publique gÇnÇrale GNU, version 3 ou ultÇrieure",c7c8fb2eb0532d062c692093059571649e5e2eea559935debabda706467b027e
i16butil,,"IA-16 GNU Binutils","Utilitaires binaires GNU, pour une cible ia16-elf (sur un hìte DJGPP)",,"gcc, compilateur, binutils, as, ld, djgpp, ia16, elf","DOS, GNU/Linux","Licence publique gÇnÇrale GNU, version 3 ou ultÇrieure",6955d177ab97e0767e330bf2f0f75fffc97254acfd21f3001344a970c3ad6cb9
i16elklc,,"IA-16 elks-libc","libc natif pour ELKS OS, pour la compilation croisÇe avec GCC IA-16",,"gcc, compilateur, elks-libc, djgpp, ia16, elf","DOS, GNU/Linux","Licence publique gÇnÇrale GNU, version 2 ou ultÇrieure",4e0ee87baf96e28d56024845576c064d87ae2e52279b74c7a3f480710998edf9
i16gcc,,"IA-16 GCC","Compilateur C GNU pour la cible ia16-elf (sur un hìte  DJGPP 32 bits)",,"gcc, compilateur, c, c99, c11, djgpp, ia16, elf","DOS, GNU/Linux","Licence publique gÇnÇrale GNU, version 3 ou ultÇrieure",9fc509de5dd7accbc3c22659cc12305a184b8e5698c4fc96e7fbc583a10a4290
i16gcdoc,,"IA-16 GCC documentation","Documentation pour le compilateur C GNU pour la cible ia16-elf",,"gcc, compilateur, c, c99, c11, djgpp, ia16, elf","DOS, GNU/Linux","Licence publique gÇnÇrale GNU, version 3 ou ultÇrieure",4db584dc781437eedc4b8119797765cb3dc439dbf0e842f5cfd88f76eb705e62
i16lbi86,,"IA-16 libi86","Routines de bibliothäque C non standard, Ö utiliser avec IA-16 GCC",,"gcc, compilateur, libi86, djgpp, ia16, elf","DOS, GNU/Linux","Licence publique gÇnÇrale GNU, version 3 ou ultÇrieure",610014efc9823d4e684424dc4860f54cb04ca555b17481972fa2bc5f62656e9e
i16newli,,"IA-16 Newlib","Librairie C  et librairie mathÇmatique, pour la cible ia16-elf",,"gcc, compilateur, newlib, libc, libm, djgpp, ia16, elf","DOS, GNU/Linux","Licence publique gÇnÇrale GNU, version 3 ou ultÇrieure",4f2533a696bfabb7fb945ceaefabbebd4253b258888ba11829f2f76aa698ee40
i16nlelk,,"IA-16 Newlib support libraries for ELKS","Librairies pour compiler les programmes ELKS OS avec GCC IA-16 et Newlib",,"gcc, compilateur, elks, newlib, libelks, djgpp, ia16, elf","DOS, GNU/Linux","Licence publique gÇnÇrale GNU, version 3 ou ultÇrieure",dde56096ce3162bf74e7386aa413740436a9e37803cb7df278e3509e310e739d
i16src,,"IA-16 GCC Sources","Sources de la chaåne d'outils IA-16 GCC",,"gcc, compilateur, binutils, as, ld, djgpp, ia16, elf","DOS, GNU/Linux","Licence publique gÇnÇrale GNU, version 3 ou ultÇrieure",ea5f4249814d0b02b6abfd9c42d89e0da98484aac658581f214efba131870972
